Game;Set;Server;Host Set Score;Guest Set Score;Game Winner;Start Time;Video Time;Duration
1;1;host;0;0;host;07:18:16;191,990005;192,630005
2;1;guest;1;0;guest;07:21:28;384,619995;175,910004
3;1;host;1;1;guest;07:24:24;560,530029;134,009995
4;1;guest;1;2;guest;07:26:38;694,539978;244,259995
5;1;host;1;3;guest;07:30:43;938,799988;169,759995
6;1;guest;1;4;guest;07:33:32;1108,560059;362,470001
7;1;host;1;5;guest;07:39:35;1471,030029;164,059998
8;2;guest;0;0;host;07:42:19;1635,089966;225,210007
9;2;host;1;0;host;07:46:04;1860,300049;263,910004
10;2;guest;2;0;host;07:50:28;2124,209961;124,419998
11;2;host;3;0;guest;07:52:32;2248,639893;287,899994
12;2;guest;3;1;guest;07:57:20;2536,530029;169,529999
13;2;host;3;2;guest;08:00:10;2706,060059;192,509995
14;2;guest;3;3;draw;08:03:22;2898,570068;
