Player;Shot;Type;Stroke;Spin;Speed (KM/H);Point;Game;Set;Bounce Depth;Bounce Zone;Bounce Side;Bounce (x);Bounce (y);Hit Depth;Hit Zone;Hit Side;Hit (x);Hit (y);Hit (z);Direction;Result;Favorited;Start Time;Video Time
Rikard Rykkvin;3;none;Forehand;Topspin;61,329872;59;10;2;deep;deuce;near;2,302402;5,422022;out;deuce;far;-1,552734;25,458591;0,841309;cross court;In;false;07:50:40;2135,959961
Rasmus Kopperud Riis;4;none;Forehand;Topspin;97,991402;59;10;2;deep;deuce;far;-1,990338;18,304621;out;deuce;near;2,990234;-0,26128;1,53125;cross court;In;false;07:50:42;2137,929932
Rikard Rykkvin;5;none;Forehand;Flat;59,051422;59;10;2;deep;ad_out;near;-6,001959;5,054458;out;deuce;far;-3,429688;25,458591;1,272461;down the line;Out;false;07:50:43;2139,199951
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;54,201885;59;10;2;short;ad;near;-1,922852;11,445312;deep;deuce;near;0,875;0,335123;2,382812;out wide;Net;false;07:51:02;2157,76001
Rasmus Kopperud Riis;1;second_serve;Serve;Flat;91,28804;59;10;2;deep;deuce;far;-2,083607;18,546671;deep;deuce;near;1,691406;0,242112;2,722656;down the T;Out;false;07:51:08;2164,399902
Rikard Rykkvin;2;second_return;Forehand;Topspin;81,316872;59;10;2;short;deuce;near;1,769425;6,558002;out;deuce;far;-2,826172;24,677341;1,1875;cross court;In;false;07:51:09;2165,629883
Rasmus Kopperud Riis;3;serve_plus_one;Forehand;Topspin;75,935318;59;10;2;deep;ad;far;0,575198;21,162304;out;deuce;near;3,800781;-0,41753;0,700195;down the line;In;false;07:51:11;2167,120117
Rikard Rykkvin;4;return_plus_one;Forehand;Topspin;69,925201;59;10;2;deep;ad;near;-1,290824;3,423741;deep;ad;far;0,327393;23,614841;1,220703;inside out;In;false;07:51:12;2168,629883
Rasmus Kopperud Riis;5;in_play;Backhand;Topspin;77,289047;59;10;2;deep;ad;far;0,434464;18,417936;out;ad;near;-1,089844;-0,425342;1,423828;cross court;In;false;07:51:14;2170,169922
Rikard Rykkvin;6;in_play;Forehand;Topspin;80,424149;59;10;2;out;ad;near;-2,029297;-1,30065;out;ad;far;0,741699;25,021091;1,066406;inside out;Out;false;07:51:15;2171,600098
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;112,006165;60;10;2;short;ad;far;2,768766;16,177864;deep;ad;near;-0,10614;0,401697;2,445312;out wide;In;false;07:51:34;2190,100098
Rikard Rykkvin;2;first_return;Backhand;Topspin;58,296455;60;10;2;short;deuce;near;1,330177;7,194239;out;ad;far;3,556641;24,724216;1,339844;down the line;In;false;07:51:35;2191,070068
Rasmus Kopperud Riis;3;serve_plus_one;Forehand;Topspin;74,35408;60;10;2;deep;deuce;far;-3,767474;22,480656;deep;deuce;near;0,574707;2,402783;1,167969;cross court;In;false;07:51:37;2192,830078
