Point;Game;Set;Serve State;Match Server;Host Game Score;Guest Game Score;Point Winner;Detail;Break Point;Set Point;Favorited;Start Time;Video Time;Duration
67;10;2;first;guest;40;30;host;Forehand Unforced Error;true;false;false;19:50:29;2017,359985;3,87
68;11;2;first;host;0;0;guest;Backhand Unforced Error;false;false;false;19:51:45;2093,090088;6,07
69;11;2;first;host;0;15;host;Service Winner;false;false;false;19:52:03;2111,600098;2,17
70;11;2;second;host;15;15;guest;Double Fault;false;false;false;19:52:16;2124,27002;7,1
71;11;2;first;host;15;30;host;Service Winner;false;false;false;19:52:38;2146,550049;1,94
72;11;2;first;host;30;30;guest;Forehand Unforced Error;false;false;false;19:52:51;2159,550049;6,74
73;11;2;second;host;30;40;guest;Double Fault;true;false;false;19:53:20;2189;5,4
74;12;2;first;guest;0;0;guest;Forehand Unforced Error;false;false;false;19:53:58;2226,209961;14,81
75;12;2;second;guest;0;15;host;Double Fault;false;false;false;19:54:23;2251,290039;7,24
76;12;2;first;guest;15;15;host;Forehand Winner;false;false;false;19:54:45;2273,330078;1,87
77;12;2;first;guest;30;15;host;Forehand Unforced Error;false;false;false;19:55:04;2292,040039;5,6
78;12;2;first;guest;40;15;guest;Forehand Winner;true;false;false;19:55:23;2311,75;3,1
79;12;2;second;guest;40;30;host;Backhand Winner;true;false;false;19:55:42;2330,889893;18,379999
80;13;2;second;host;0;0;host;Forehand Unforced Error;false;false;false;19:56:53;2401,389893;15,71
81;13;2;first;host;15;0;guest;Forehand Unforced Error;false;false;false;19:57:20;2428,399902;4
82;13;2;first;host;15;15;host;Backhand Unforced Error;false;false;false;19:57:37;2445,810059;5
83;13;2;second;host;30;15;host;Backhand Winner;false;false;false;19:57:56;2464,179932;9,14
84;13;2;first;host;40;15;host;Backhand Winner;false;false;false;19:58:24;2492,590088;5,44
85;14;2;first;guest;0;0;host;Backhand Unforced Error;false;false;false;19:59:00;2528,610107;7,14
86;14;2;first;guest;15;0;host;Forehand Unforced Error;false;false;false;19:59:34;2562,419922;9,14
87;14;2;second;guest;30;0;guest;Service Winner;false;false;false;19:59:55;2583,169922;9,1
88;14;2;first;guest;30;15;host;Forehand Winner;false;false;false;20:00:23;2611,209961;2,3
89;14;2;first;guest;40;15;guest;Backhand Unforced Error;true;false;false;20:00:42;2630,649902;10,14
90;14;2;second;guest;40;30;host;Forehand Winner;true;false;false;20:01:13;2661,22998;14,77
91;15;2;first;host;0;0;host;Service Winner;false;false;false;20:02:30;2738,169922;1,57
92;15;2;first;host;15;0;host;Ace;false;false;false;20:02:43;2751,27002;0,57
93;15;2;first;host;30;0;guest;Backhand Unforced Error;false;false;false;20:02:54;2762,939941;6,8
94;15;2;first;host;30;15;guest;Forehand Unforced Error;false;false;false;20:03:35;2803,830078;6,84
95;15;2;second;host;30;30;guest;Backhand Winner;false;false;false;20:03:59;2827,840088;14,07
96;15;2;second;host;30;40;host;Service Winner;true;false;false;20:04:33;2861,550049;7,34
97;15;2;second;host;40;40;host;Forehand Winner;false;false;false;20:05:03;2892;23,08
98;15;2;second;host;AD;40;guest;Forehand Unforced Error;false;false;false;20:05:38;2926,25;27,48
99;15;2;first;host;40;40;guest;;false;false;false;20:06:22;2970,899902;2,5
100;15;2;first;host;40;AD;host;Forehand Unforced Error;true;false;false;20:06:37;2985,899902;11,61
101;15;2;first;host;40;40;host;Backhand Unforced Error;false;false;false;20:07:13;3021,919922;15,24
102;15;2;second;host;AD;40;guest;Double Fault;false;false;false;20:07:46;3054,469971;6,1
103;15;2;first;host;40;40;host;Service Winner;false;false;false;20:08:08;3076,040039;1,93
104;15;2;second;host;AD;40;host;Forehand Unforced Error;false;false;false;20:08:29;3097,149902;12,61
105;16;2;first;guest;0;0;guest;Service Winner;false;false;false;20:09:26;3154,409912;2,3
106;16;2;second;guest;0;15;host;Forehand Winner;false;false;false;20:09:39;3167,25;8,92
107;16;2;second;guest;15;15;host;Backhand Unforced Error;false;false;false;20:10:05;3193,959961;13,77
108;16;2;second;guest;30;15;host;Forehand Unforced Error;false;false;false;20:10:31;3219,899902;12,67
109;16;2;first;guest;40;15;host;Backhand Unforced Error;true;true;false;20:11:05;3253,050049;3,94
