Player;Shot;Type;Stroke;Spin;Speed (KM/H);Point;Game;Set;Bounce Depth;Bounce Zone;Bounce Side;Bounce (x);Bounce (y);Hit Depth;Hit Zone;Hit Side;Hit (x);Hit (y);Hit (z);Direction;Result;Favorited;Start Time;Video Time
Rikard Rykkvin;0;none;Feed;Flat;29,268389;1;1;1;deep;deuce;near;2,085938;4,476562;short;deuce;far;-0,495361;17,271091;1,710938;---;In;false;19:17:41;49,490002
Rasmus Kopperud Riis;1;first_serve;Serve;Slice;117,640274;1;1;1;deep;deuce;far;-3,790062;22,249598;deep;deuce;near;1,044922;0,58247;2,519531;out wide;Out;false;19:17:59;67,160004
Rikard Rykkvin;2;none;Forehand;Topspin;66,737999;1;1;1;out;ad;near;-1,074219;-0,617188;out;deuce_alley;far;-4,621094;25,536716;0,95166;down the line;Out;false;19:18:00;68,160004
Rasmus Kopperud Riis;1;second_serve;Serve;Slice;116,074097;1;1;1;short;deuce;far;-1,145299;18,275412;deep;deuce;near;0,742676;0,679122;2,373047;down the T;In;false;19:18:06;74,730003
Rikard Rykkvin;2;second_return;Backhand;Flat;59,547443;1;1;1;short;deuce;near;0,807546;5,850709;deep;deuce;far;-1,880859;23,739841;1,355469;inside out;In;false;19:18:07;75,730003
Rasmus Kopperud Riis;3;serve_plus_one;Forehand;Topspin;101,333786;1;1;1;deep;ad;far;2,78488;20,164175;deep;deuce;near;1,348633;0,348095;1,189453;down the line;In;false;19:18:09;77,470001
Rikard Rykkvin;4;return_plus_one;Backhand;Slice;40,831448;1;1;1;deep;ad;far;0,819336;19,661943;out;ad;far;2,496094;25,396091;0,982422;cross court;Net;false;19:18:10;78,739998
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;119,685501;2;1;1;short;ad;far;1,329226;16,437336;deep;ad;near;0,364502;0,377998;2,410156;down the T;In;false;19:18:21;89,839996
Rikard Rykkvin;2;first_return;Forehand;Topspin;88,342224;2;1;1;deep;ad;near;-1,13078;3,098833;out;ad;far;2,324219;26,302341;1,006836;inside out;In;false;19:18:22;90,910004
Rasmus Kopperud Riis;3;serve_plus_one;Forehand;Topspin;86,717567;2;1;1;deep;deuce;far;-2,371094;20,84375;out;ad;near;-1,404297;-1,94878;1,207031;inside in;In;false;19:18:24;92,269997
Rikard Rykkvin;4;return_plus_one;Forehand;Flat;91,35656;2;1;1;deep;deuce;near;1,13388;4,599879;out;deuce;far;-2,966797;26,896091;1,121094;cross court;In;false;19:18:25;93,980003
Rasmus Kopperud Riis;5;in_play;Forehand;Flat;81,246429;2;1;1;deep;ad;far;0,446289;21,59375;out;deuce;near;2,291016;-0,972217;1,332031;down the line;In;false;19:18:27;95,510002
Rikard Rykkvin;6;in_play;Forehand;Topspin;76,473;2;1;1;deep;deuce;near;0,511383;5,171279;out;deuce;far;-0,23938;24,739841;1,125;cross court;In;false;19:18:28;96,879997
Rasmus Kopperud Riis;7;in_play;Forehand;Flat;101,23864;2;1;1;short;deuce;far;-2,81529;16,902832;out;deuce;near;0,741699;-1,722217;1,091797;cross court;In;false;19:18:30;98,639999
Rikard Rykkvin;8;in_play;Forehand;Flat;74,994316;2;1;1;short;deuce;far;-1,155273;14,265625;out;deuce_alley;far;-4,15625;26,208591;0,566406;down the line;Net;false;19:18:32;100,279999
Rasmus Kopperud Riis;1;first_serve;Serve;Slice;67,591553;3;1;1;short;deuce;near;0,685059;9,320211;deep;deuce;near;1,09375;0,637158;2,484375;down the T;Net;false;19:18:50;118,790001
Rasmus Kopperud Riis;1;second_serve;Serve;Slice;60,028656;3;1;1;short;ad;near;-1,723633;11,742188;deep;deuce;near;0,955566;0,699658;2,449219;out wide;Net;false;19:18:56;124,589996
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;95,197311;4;1;1;short;ad;far;2,49849;18,199709;deep;ad;near;0,112305;0,535595;2,4375;out wide;In;false;19:19:13;141,300003
Rikard Rykkvin;2;first_return;Forehand;Topspin;65,088661;4;1;1;short;ad;near;-0,037009;6,787622;out;ad;far;2,953125;25,255466;0,867188;inside out;In;false;19:19:14;142,5
Rasmus Kopperud Riis;3;serve_plus_one;Forehand;Flat;144,673325;4;1;1;short;deuce;far;-2,944321;18,214697;deep;ad;near;-1,34375;-0,01128;1,287109;inside in;In;false;19:19:16;144,460007
Rikard Rykkvin;4;return_plus_one;Forehand;Flat;56,976715;4;1;1;short;ad_alley;near;-4,579405;5,901139;out;deuce;far;-3,513672;26,239841;0,867676;down the line;Out;false;19:19:17;145,5
Rasmus Kopperud Riis;1;first_serve;Serve;Slice;123,790657;5;1;1;deep;deuce;far;-1,064186;19,642189;deep;deuce;near;0,733398;0,824658;2,587891;down the T;Out;false;19:19:32;160,339996
Rikard Rykkvin;1;none;Backhand;Topspin;55,55555;5;1;1;out;ad;near;-0,964826;-1,076332;deep;deuce;far;-1,421875;23,474216;1,12207;inside in;Out;false;19:19:33;161,240005
Rasmus Kopperud Riis;1;second_serve;Serve;Slice;102,351288;5;1;1;short;deuce;far;-3,779571;17,376232;deep;deuce;near;0,394531;1,441845;2,408203;out wide;In;false;19:19:41;169,410004
Rikard Rykkvin;2;second_return;Forehand;Topspin;90,469162;5;1;1;deep;deuce;near;3,683869;3,087435;out;deuce_alley;far;-5,117188;24,614841;1,158203;down the line;In;false;19:19:42;170,509995
