Stat Name;Host Set 1;Guest Set 1;Host Set 2;Guest Set 2;Host Set 3;Guest Set 3;Host Set 4;Guest Set 4;Host Set 5;Guest Set 5
1st Serves;36;25;25;23;;;;;;
1st Serves In;21;19;15;13;;;;;;
1st Serves Won;12;9;9;5;;;;;;
2nd Serves;15;6;10;10;;;;;;
2nd Serves In;11;3;7;9;;;;;;
2nd Serves Won;6;0;5;2;;;;;;
Break Points;4;4;3;6;;;;;;
Break Points Saved;2;1;2;2;;;;;;
1st Returns;19;21;13;15;;;;;;
1st Returns Won;10;9;8;6;;;;;;
2nd Returns;6;15;10;10;;;;;;
2nd Returns Won;6;9;8;5;;;;;;
Break Point Opportunities;4;4;6;3;;;;;;
Break Points Won;3;2;4;1;;;;;;
Set Points Saved;0;0;0;0;;;;;;
Set Point Opportunities;1;0;1;0;;;;;;
Set Points Won;1;0;1;0;;;;;;
Total Points;61;61;48;48;;;;;;
Total Points Won;34;27;30;18;;;;;;
Aces;1;0;1;0;;;;;;
Service Winners;8;5;5;3;;;;;;
Forehand Winners;2;3;5;1;;;;;;
Backhand Winners;2;0;3;1;;;;;;
Forehand Unforced Errors;10;11;5;10;;;;;;
Backhand Unforced Errors;2;6;3;5;;;;;;
Forehand Forced Errors;0;0;0;0;;;;;;
Backhand Forced Errors;0;0;0;0;;;;;;
Calories Burned (kCAL);0;0;0;0;;;;;;
Distance Run (KM);0;0;0;0;;;;;;
Average Heart Rate (BPM);0;0;0;0;;;;;;
