Set;Host Score;Guest Score;Host Tiebreak Score;Guest Tiebreak Score;Set Winner;Super Tiebreak;Start Time;Video Time;Duration
1;1;6;0;0;guest;false;17:19:40;;1458,420044
2;1;6;0;0;guest;false;17:43:59;;1735,449951
