Player;Shot;Type;Stroke;Spin;Speed (KM/H);Point;Game;Set;Bounce Depth;Bounce Zone;Bounce Side;Bounce (x);Bounce (y);Hit Depth;Hit Zone;Hit Side;Hit (x);Hit (y);Hit (z);Direction;Result;Favorited;Start Time;Video Time
Rasmus Kopperud Riis;1;first_serve;Serve;Slice;123,713676;1;1;1;short;deuce;far;-1,762235;18,20639;deep;deuce;near;0,82373;0,621533;2,503906;down the T;In;false;17:19:38;
Rikard Rykkvin;2;first_return;Backhand;Flat;42,164818;1;1;1;short;ad;far;2,513672;17,120506;deep;deuce;far;-2,042969;24,333591;1,628906;inside in;Net;false;17:19:39;
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;131,118027;2;1;1;short;ad;far;2,588117;17,747988;deep;ad;near;0,174316;0,230908;2,441406;out wide;In;false;17:19:52;
Rikard Rykkvin;2;first_return;Backhand;Flat;64,810387;2;1;1;deep;deuce;near;1,068194;5,181811;deep;ad;far;3,146484;24,396091;1,580078;down the line;In;false;17:19:52;
Rasmus Kopperud Riis;3;serve_plus_one;Forehand;Topspin;97,471695;2;1;1;short;deuce;far;-1,419064;18,261843;deep;deuce;near;0,558594;1,004345;1,230469;cross court;In;false;17:19:54;
Rikard Rykkvin;4;return_plus_one;Forehand;Flat;74,262543;2;1;1;short;deuce;near;1,244214;6,039627;deep;deuce;far;-2,244141;23,349216;0,839355;cross court;In;false;17:19:55;
Rasmus Kopperud Riis;5;in_play;Forehand;Flat;64,017067;2;1;1;deep;ad;far;0,341783;19,624262;deep;deuce;near;1,833008;0,98872;0,645996;down the line;In;false;17:19:56;
Rikard Rykkvin;6;in_play;Forehand;Topspin;73,532089;2;1;1;short;ad;near;-2,402186;6,106268;out;deuce;far;-0,703125;24,927341;1,703125;down the line;In;false;17:19:58;
Rasmus Kopperud Riis;7;in_play;Backhand;Flat;94,446655;2;1;1;out;deuce;far;-1,535543;26,577259;deep;ad;near;-3,173828;0,066845;1,047852;down the line;Out;false;17:20:00;
Rikard Rykkvin;8;in_play;Forehand;Topspin;57,162247;2;1;1;short;ad;near;-2,830968;6,644981;out;deuce;far;-1,496094;25,536716;0,539551;down the line;In;false;17:20:01;
