Point;Game;Set;Serve State;Match Server;Host Game Score;Guest Game Score;Point Winner;Detail;Break Point;Set Point;Favorited;Start Time;Video Time;Duration
1;1;1;first;host;0;0;host;Service Winner;false;false;false;17:19:40;;2,25
2;1;1;first;host;15;0;guest;Backhand Unforced Error;false;false;false;17:19:54;;10,84
3;1;1;first;host;15;15;host;Forehand Winner;false;false;false;17:20:16;;20,379999
4;1;1;first;host;30;15;guest;Forehand Unforced Error;false;false;false;17:21:08;;9,05
5;1;1;first;host;30;30;host;Forehand Unforced Error;false;false;false;17:21:30;;16,16
6;1;1;first;host;40;30;host;Ace;false;false;false;17:22:10;;0,5
7;2;1;first;guest;0;0;host;Backhand Unforced Error;false;false;false;17:23:34;;3,35
8;2;1;first;guest;15;0;host;Backhand Unforced Error;false;false;false;17:23:48;;2,75
9;2;1;second;guest;30;0;host;Backhand Winner;false;false;false;17:24:08;;11,91
10;2;1;first;guest;40;0;guest;Service Winner;true;false;false;17:24:44;;2,05
11;2;1;first;guest;40;15;guest;Backhand Unforced Error;true;false;false;17:24:56;;5,17
12;2;1;first;guest;40;30;host;Backhand Unforced Error;true;false;false;17:25:23;;3,73
13;3;1;second;host;0;0;host;Backhand Unforced Error;false;false;false;17:26:02;;14,49
14;3;1;first;host;15;0;host;Service Winner;false;false;false;17:26:28;;2,3
15;3;1;second;host;30;0;guest;Forehand Winner;false;false;false;17:26:46;;17,24
16;3;1;second;host;30;15;host;Service Winner;false;false;false;17:27:27;;21,110001
17;3;1;second;host;40;15;host;Service Winner;false;false;false;17:28:05;;8,57
18;4;1;second;guest;0;0;guest;Forehand Unforced Error;false;false;false;17:29:27;;15,34
19;4;1;second;guest;0;15;host;Double Fault;false;false;false;17:30:00;;10,05
20;4;1;first;guest;15;15;host;Forehand Unforced Error;false;false;false;17:30:19;;7,09
21;4;1;first;guest;30;15;guest;Forehand Unforced Error;false;false;false;17:30:42;;10,42
22;4;1;first;guest;30;30;host;Backhand Unforced Error;false;false;false;17:31:07;;18,74
23;4;1;first;guest;40;30;host;Backhand Winner;true;false;false;17:31:43;;4,77
24;5;1;first;host;0;0;host;Backhand Unforced Error;false;false;false;17:32:43;;4,75
25;5;1;first;host;15;0;host;Backhand Unforced Error;false;false;false;17:33:04;;11,07
26;5;1;first;host;30;0;guest;Forehand Unforced Error;false;false;false;17:33:31;;10,42
27;5;1;second;host;30;15;guest;Double Fault;false;false;false;17:33:56;;9,02
28;5;1;first;host;30;30;guest;Forehand Unforced Error;false;false;false;17:34:24;;6,15
29;5;1;first;host;30;40;host;Service Winner;true;false;false;17:34:55;;2,37
30;5;1;first;host;40;40;host;Service Winner;false;false;false;17:35:12;;1,78
31;5;1;first;host;AD;40;guest;Forehand Unforced Error;false;false;false;17:35:32;;3,82
32;5;1;first;host;40;40;host;Backhand Unforced Error;false;false;false;17:35:50;;4,39
33;5;1;second;host;AD;40;host;Forehand Unforced Error;false;false;false;17:36:11;;10,77
34;6;1;first;guest;0;0;host;Forehand Unforced Error;false;false;false;17:37:37;;3,17
35;6;1;second;guest;15;0;guest;Forehand Unforced Error;false;false;false;17:38:04;;12,42
36;6;1;first;guest;15;15;host;Backhand Unforced Error;false;false;false;17:38:39;;9,12
37;6;1;second;guest;30;15;guest;;false;false;false;17:39:07;;32,25
38;6;1;first;guest;30;30;guest;Service Winner;false;false;false;17:39:44;;2,43
39;6;1;second;guest;30;40;host;Forehand Unforced Error;false;false;false;17:40:07;;24,440001
40;6;1;first;guest;40;40;guest;Forehand Winner;false;false;false;17:41:05;;2,38
41;6;1;first;guest;40;AD;guest;Forehand Unforced Error;false;false;false;17:41:13;;23,84
42;7;1;first;host;0;0;host;Service Winner;false;false;false;17:42:01;;1,78
43;7;1;first;host;15;0;host;Ace;false;false;false;17:42:14;;0,53
44;7;1;first;host;30;0;guest;Forehand Unforced Error;false;false;false;17:42:25;;5,85
45;7;1;first;host;30;15;host;Service Winner;false;false;false;17:42:52;;1,88
46;7;1;second;host;40;15;guest;Double Fault;false;true;false;17:43:09;;8,04
47;7;1;second;host;40;30;host;Forehand Winner;false;true;false;17:43:38;;21,139999
48;8;2;first;guest;0;0;guest;Backhand Unforced Error;false;false;false;17:45:36;;8
49;8;2;second;guest;0;15;host;Double Fault;false;false;false;17:45:57;;11,37
50;8;2;first;guest;15;15;host;Forehand Unforced Error;false;false;false;17:46:19;;9,37
51;8;2;first;guest;30;15;host;Forehand Unforced Error;false;false;false;17:46:58;;3,8
52;8;2;first;guest;40;15;host;Forehand Winner;true;false;false;17:47:14;;5,8
53;9;2;first;host;0;0;host;Service Winner;false;false;false;17:48:42;;2,35
54;9;2;first;host;15;0;host;Ace;false;false;false;17:49:02;;0,47
55;9;2;second;host;30;0;guest;Double Fault;false;false;false;17:49:15;;9,87
56;9;2;second;host;30;15;host;Service Winner;false;false;false;17:49:35;;11,7
57;9;2;first;host;40;15;host;Service Winner;false;false;false;17:50:08;;1,48
58;10;2;second;guest;0;0;host;Double Fault;false;false;false;17:50:38;;2,3
59;10;2;second;guest;15;0;guest;Service Winner;false;false;false;17:50:46;;12,81
60;10;2;second;guest;15;15;host;Double Fault;false;false;false;17:51:15;;50,75
61;10;2;first;guest;30;15;guest;Service Winner;false;false;false;17:53:17;;1,78
62;10;2;first;guest;30;30;guest;Ace;false;false;false;17:53:31;;0,47
63;10;2;first;guest;30;40;guest;Service Winner;false;false;false;17:53:42;;1,82
64;11;2;second;host;0;0;host;;false;false;false;17:53:59;;74,720001
65;11;2;second;host;15;0;host;Service Winner;false;false;false;17:55:33;;8,79
66;11;2;first;host;30;0;host;;false;false;false;17:56:11;;9,6
67;11;2;first;host;40;0;host;Forehand Winner;false;false;false;17:56:36;;2,07
68;12;2;second;guest;0;0;host;Double Fault;false;false;false;17:56:44;;36,400002
69;12;2;first;guest;15;0;host;Backhand Unforced Error;false;false;false;17:57:30;;3,8
70;12;2;second;guest;30;0;host;Double Fault;false;false;false;17:57:43;;8,39
71;12;2;first;guest;40;0;host;Backhand Unforced Error;true;false;false;17:58:10;;8,89
72;13;2;second;host;0;0;guest;Double Fault;false;false;false;17:59:09;;6,49
73;13;2;first;host;0;15;host;Service Winner;false;false;false;17:59:30;;2,33
