Game;Set;Server;Host Set Score;Guest Set Score;Game Winner;Start Time;Video Time;Duration
1;1;guest;0;0;host;06:23:05;-0,49;125,209999
2;1;host;1;0;host;06:25:10;124,720001;168,639999
3;1;guest;2;0;guest;06:27:59;293,359985;234,330002
4;1;host;2;1;host;06:31:53;527,690002;232,399994
5;1;guest;3;1;guest;06:35:45;760,090027;308,100006
6;1;host;3;2;host;06:40:53;1068,189941;173,410004
7;1;guest;4;2;guest;06:43:47;1241,589966;159,440002
8;1;host;4;3;host;06:46:26;1401,030029;161,940002
9;1;guest;5;3;host;06:49:08;1562,959961;180,339996
10;2;host;0;0;host;06:52:09;1743,310059;187,300003
11;2;guest;1;0;guest;06:55:16;1930,599976;144,110001
12;2;host;1;1;host;06:57:40;2074,719971;120,239998
13;2;guest;2;1;host;06:59:40;2194,949951;209,740005
14;2;host;3;1;draw;07:03:10;2404,689941;
