Stat Name;Host Set 1;Guest Set 1;Host Set 2;Guest Set 2;Host Set 3;Guest Set 3;Host Set 4;Guest Set 4;Host Set 5;Guest Set 5
1st Serves;23;35;8;14;;;;;;
1st Serves In;19;20;5;9;;;;;;
1st Serves Won;14;14;5;6;;;;;;
2nd Serves;4;15;3;5;;;;;;
2nd Serves In;4;11;3;3;;;;;;
2nd Serves Won;3;4;3;1;;;;;;
Break Points;0;4;0;1;;;;;;
Break Points Saved;0;2;0;0;;;;;;
1st Returns;20;19;9;5;;;;;;
1st Returns Won;6;5;3;0;;;;;;
2nd Returns;15;4;5;3;;;;;;
2nd Returns Won;11;1;4;0;;;;;;
Break Point Opportunities;4;0;1;0;;;;;;
Break Points Won;2;0;1;0;;;;;;
Set Points Saved;0;0;0;0;;;;;;
Set Point Opportunities;1;0;0;0;;;;;;
Set Points Won;1;0;0;0;;;;;;
Total Points;58;58;22;22;;;;;;
Total Points Won;34;24;15;7;;;;;;
Aces;3;0;0;0;;;;;;
Service Winners;4;5;3;0;;;;;;
Forehand Winners;3;2;1;0;;;;;;
Backhand Winners;1;1;0;0;;;;;;
Forehand Unforced Errors;12;8;5;4;;;;;;
Backhand Unforced Errors;4;9;2;2;;;;;;
Forehand Forced Errors;0;0;0;0;;;;;;
Backhand Forced Errors;0;0;0;0;;;;;;
Calories Burned (kCAL);0;0;0;0;;;;;;
Distance Run (KM);0;0;0;0;;;;;;
Average Heart Rate (BPM);0;0;0;0;;;;;;
