Player;Shot;Type;Stroke;Spin;Speed (KM/H);Point;Game;Set;Bounce Depth;Bounce Zone;Bounce Side;Bounce (x);Bounce (y);Hit Depth;Hit Zone;Hit Side;Hit (x);Hit (y);Hit (z);Direction;Result;Favorited;Start Time;Video Time
Rikard Rykkvin;1;first_serve;Serve;Flat;89,703468;1;1;1;deep;deuce;near;2,704313;4,732179;deep;deuce;far;-0,402344;23,583591;2,398438;out wide;Out;false;06:23:09;3,7
Rasmus Kopperud Riis;1;none;Forehand;Flat;57,637085;1;1;1;deep;ad;far;1,931774;20,620913;out;deuce;near;3,763672;-1,57378;1,256836;down the line;In;false;06:23:10;5,2
Rikard Rykkvin;1;second_serve;Serve;Flat;113,181427;1;1;1;deep;deuce;near;3,484053;4,4959;short;deuce;far;-0,412354;24,023657;2,494141;out wide;Out;false;06:23:16;10,81
Rasmus Kopperud Riis;2;second_return;Forehand;Topspin;76,798019;1;1;1;out;deuce;far;-0,085938;25,475285;out;deuce_alley;near;4,570312;-1,44878;1,328125;down the line;Out;false;06:23:17;12,07
Rikard Rykkvin;1;first_serve;Serve;Flat;69,207344;2;1;1;short;deuce;far;-1,219727;14,25;deep;ad;far;0,992188;23,958591;2,414062;down the T;Net;false;06:23:36;31,209999
Rikard Rykkvin;1;second_serve;Serve;Slice;102,730415;2;1;1;short;ad;near;-2,575905;7,005956;deep;ad;far;0,742676;23,796844;2,439453;out wide;In;false;06:23:41;36,049999
Rasmus Kopperud Riis;2;second_return;Forehand;Topspin;58,239258;2;1;1;short;ad;near;-0,937988;6,260982;out;ad;near;-3,390625;-1,190967;1,056641;inside out;Net;false;06:23:42;37,279999
Rikard Rykkvin;1;first_serve;Serve;Slice;93,593193;3;1;1;deep;deuce;near;2,348119;2,945592;deep;deuce;far;-0,888184;23,489841;2,509766;down the T;Out;false;06:23:53;47,990002
Rasmus Kopperud Riis;1;none;Forehand;Topspin;52,537773;3;1;1;short;deuce;near;1,702148;6,720218;out;deuce;near;3,673828;-1,690967;1,209961;cross court;Net;false;06:23:54;49,220001
Rikard Rykkvin;1;second_serve;Serve;Slice;65,477615;3;1;1;short;deuce;near;3,932636;5,490614;deep;deuce;far;-1,162109;23,364841;2,396484;out wide;In;false;06:23:59;54,259998
Rasmus Kopperud Riis;2;second_return;Forehand;Topspin;83,721046;3;1;1;deep;ad;far;0,863764;23,745041;deep;deuce;near;3,806641;-0,050342;0,794434;down the line;In;false;06:24:01;55,990002
Rikard Rykkvin;3;serve_plus_one;Backhand;Topspin;46,295807;3;1;1;short;ad_alley;near;-5,192001;7,348418;deep;ad;far;0,608398;24,146091;0,931641;down the line;Out;false;06:24:03;57,360001
Rasmus Kopperud Riis;0;none;Feed;Flat;20,221321;4;1;1;short;deuce;far;-1,064453;13,695312;short;deuce;near;0,492188;10,387157;1,841797;---;In;false;06:24:11;65,800003
Rikard Rykkvin;1;none;Volley;Flat;40,100464;4;1;1;short;deuce;far;-0,822555;14,4375;short;ad;far;0,377441;15,919529;2,650391;down the line;Net;false;06:24:12;67,129997
Rikard Rykkvin;1;first_serve;Serve;Flat;98,162697;4;1;1;short;ad_alley;near;-4,476541;7,339422;deep;ad;far;0,929199;23,748573;1,957031;out wide;Out;false;06:24:31;85,300003
Rasmus Kopperud Riis;3;none;Backhand;Topspin;62,984493;4;1;1;deep;deuce_alley;far;-5,288414;23,692791;deep;ad_alley;near;-4,835938;0,92622;1,032227;down the line;Out;false;06:24:32;86,900002
Rikard Rykkvin;1;second_serve;Serve;Slice;69,222961;4;1;1;short;ad;near;-3,666015;8,77641;deep;ad;far;0,880859;23,458591;2,371094;out wide;In;false;06:24:37;91,669998
Rasmus Kopperud Riis;2;second_return;Backhand;Flat;96,046638;4;1;1;deep;deuce;far;-1,031326;19,50897;out;ad_alley;near;-4,824219;-0,589405;0,949219;down the line;In;false;06:24:39;93,410004
Rikard Rykkvin;3;serve_plus_one;Forehand;Topspin;62,335037;4;1;1;out;ad_alley;near;-4,570012;-0,755051;deep;deuce;far;-0,563477;23,364841;1,161133;down the line;Out;false;06:24:40;94,669998
Rikard Rykkvin;1;first_serve;Serve;Flat;83,787956;5;1;1;short;deuce;near;0,377473;7,085463;deep;deuce;far;-0,90625;23,333591;2,273438;down the T;In;false;06:25:04;119,220001
Rasmus Kopperud Riis;2;first_return;Backhand;Flat;99,287025;5;1;1;deep;deuce;far;-0,295384;22,515625;out;deuce;near;1,709961;-1,57378;0,907227;inside out;In;false;06:25:06;120,75
