Set;Host Score;Guest Score;Host Tiebreak Score;Guest Tiebreak Score;Set Winner;Super Tiebreak;Start Time;Video Time;Duration
1;6;3;0;0;host;false;06:23:05;-0,49;1743,800049
2;3;1;0;0;draw;false;06:52:09;1743,310059;
