Stat Name;Host Set 1;Guest Set 1;Host Set 2;Guest Set 2;Host Set 3;Guest Set 3;Host Set 4;Guest Set 4;Host Set 5;Guest Set 5
1st Serves;20;27;18;18;;;;;;
1st Serves In;15;17;15;8;;;;;;
1st Serves Won;10;8;10;4;;;;;;
2nd Serves;5;10;3;10;;;;;;
2nd Serves In;3;6;2;9;;;;;;
2nd Serves Won;2;2;1;3;;;;;;
Break Points;1;6;2;3;;;;;;
Break Points Saved;0;3;2;1;;;;;;
1st Returns;17;15;8;15;;;;;;
1st Returns Won;9;5;4;5;;;;;;
2nd Returns;10;5;10;3;;;;;;
2nd Returns Won;8;3;7;2;;;;;;
Break Point Opportunities;6;1;3;2;;;;;;
Break Points Won;3;1;2;0;;;;;;
Set Points Saved;0;0;0;0;;;;;;
Set Point Opportunities;1;0;0;0;;;;;;
Set Points Won;1;0;0;0;;;;;;
Total Points;47;47;36;36;;;;;;
Total Points Won;29;18;22;14;;;;;;
Aces;0;0;0;0;;;;;;
Service Winners;7;2;5;3;;;;;;
Forehand Winners;0;1;2;0;;;;;;
Backhand Winners;0;0;1;1;;;;;;
Forehand Unforced Errors;9;10;6;6;;;;;;
Backhand Unforced Errors;2;5;1;7;;;;;;
Forehand Forced Errors;0;0;0;0;;;;;;
Backhand Forced Errors;0;0;0;0;;;;;;
Calories Burned (kCAL);0;0;0;0;;;;;;
Distance Run (KM);0;0;0;0;;;;;;
Average Heart Rate (BPM);0;0;0;0;;;;;;
