Game;Set;Server;Host Set Score;Guest Set Score;Game Winner;Start Time;Video Time;Duration
1;1;host;0;0;host;17:19:40;;149,899994
2;1;guest;1;0;host;17:22:10;;196,479996
3;1;host;2;0;host;17:25:27;;166,369995
4;1;guest;3;0;host;17:28:13;;215,089996
5;1;host;4;0;host;17:31:48;;273,720001
6;1;guest;5;0;guest;17:36:22;;314,630005
7;1;host;5;1;host;17:41:37;;142,229996
8;2;guest;0;0;host;17:43:59;;201,350006
9;2;host;1;0;host;17:47:20;;169,460007
10;2;guest;2;0;guest;17:50:10;;214,289993
11;2;host;2;1;host;17:53:44;;174,419998
12;2;guest;3;1;host;17:56:38;;100,589996
13;2;host;4;1;host;17:58:19;;188,600006
14;2;guest;5;1;host;18:01:28;;660,47998
