Set;Host Score;Guest Score;Host Tiebreak Score;Guest Tiebreak Score;Set Winner;Super Tiebreak;Start Time;Video Time;Duration
1;6;1;0;0;host;false;17:19:40;;1458,420044
2;6;1;0;0;host;false;17:43:59;;1709,189941
