Stat Name;Host Set 1;Guest Set 1;Host Set 2;Guest Set 2;Host Set 3;Guest Set 3;Host Set 4;Guest Set 4;Host Set 5;Guest Set 5
1st Serves;18;44;9;12;;;;;;
1st Serves In;12;27;6;5;;;;;;
1st Serves Won;11;16;4;1;;;;;;
2nd Serves;6;17;3;7;;;;;;
2nd Serves In;3;13;1;5;;;;;;
2nd Serves Won;2;4;1;3;;;;;;
Break Points;0;12;1;2;;;;;;
Break Points Saved;0;9;0;0;;;;;;
1st Returns;27;12;5;6;;;;;;
1st Returns Won;11;1;4;2;;;;;;
2nd Returns;17;6;7;3;;;;;;
2nd Returns Won;13;4;4;2;;;;;;
Break Point Opportunities;12;0;2;1;;;;;;
Break Points Won;3;0;2;1;;;;;;
Set Points Saved;0;3;0;0;;;;;;
Set Point Opportunities;4;0;0;0;;;;;;
Set Points Won;1;0;0;0;;;;;;
Total Points;62;62;21;21;;;;;;
Total Points Won;37;25;13;8;;;;;;
Aces;0;1;0;0;;;;;;
Service Winners;2;7;4;0;;;;;;
Forehand Winners;5;1;1;0;;;;;;
Backhand Winners;0;1;0;0;;;;;;
Forehand Unforced Errors;9;13;4;3;;;;;;
Backhand Unforced Errors;2;8;1;3;;;;;;
Forehand Forced Errors;0;0;0;0;;;;;;
Backhand Forced Errors;0;0;0;0;;;;;;
Calories Burned (kCAL);0;0;0;0;;;;;;
Distance Run (KM);0;0;0;0;;;;;;
Average Heart Rate (BPM);0;0;0;0;;;;;;
