Player;Shot;Type;Stroke;Spin;Speed (KM/H);Point;Game;Set;Bounce Depth;Bounce Zone;Bounce Side;Bounce (x);Bounce (y);Hit Depth;Hit Zone;Hit Side;Hit (x);Hit (y);Hit (z);Direction;Result;Favorited;Start Time;Video Time
Rikard Rykkvin;1;first_serve;Serve;Flat;199,483078;1;1;1;short;deuce;near;1,934674;8,726837;deep;deuce;far;-0,66748;23,146091;2,302734;down the T;In;false;07:17:41;185,479996
Rasmus Kopperud Riis;2;first_return;Forehand;Topspin;81,944389;1;1;1;short;ad;far;2,240058;18,046513;out;deuce;near;3,951172;-0,558155;0,963379;down the line;In;false;07:17:42;186,350006
Rikard Rykkvin;3;serve_plus_one;Backhand;Slice;53,251778;1;1;1;short;ad;near;-1,727734;6,323092;out;ad;far;2,304688;24,599216;0,733887;cross court;In;false;07:17:44;187,850006
Rasmus Kopperud Riis;4;return_plus_one;Forehand;Flat;109,56218;1;1;1;deep;deuce;far;-4,056483;23,745867;deep;ad;near;-2,205078;1,33247;0,849121;inside in;In;false;07:17:46;190,080002
Rikard Rykkvin;5;in_play;Forehand;Topspin;67,092896;1;1;1;short;ad;near;-0,07428;7,993216;out;deuce;far;-3,201172;26,489841;0,849121;down the line;In;false;07:17:47;191,419998
Rikard Rykkvin;6;in_play;Backhand;Flat;82,032753;1;1;1;short;deuce;far;-0,327148;16,400244;out;deuce;far;-0,327148;24,505466;0,786133;inside out;Net;false;07:17:49;193,580002
Rikard Rykkvin;1;first_serve;Serve;Flat;198,644608;2;1;1;short;ad;near;-2,329995;6,054854;deep;ad;far;0,150146;22,302341;2,470703;out wide;In;false;07:18:05;209,660004
Rasmus Kopperud Riis;2;first_return;Forehand;Topspin;78,830795;2;1;1;short;deuce;far;-0,927863;17,759348;out;ad;near;-2,714844;-0,776905;1,193359;inside in;In;false;07:18:06;210,360001
Rikard Rykkvin;3;serve_plus_one;Forehand;Flat;98,872528;2;1;1;deep;deuce;near;1,661133;4,121094;out;ad;far;0,379883;25,021091;0,589355;inside in;In;false;07:18:08;212,089996
Rasmus Kopperud Riis;4;return_plus_one;Forehand;Flat;78,900383;2;1;1;deep;deuce;far;-2,328124;21,65752;deep;deuce;near;2,228516;0,262158;0,928711;cross court;In;false;07:18:09;213,389999
Rikard Rykkvin;5;in_play;Forehand;Flat;70,493385;2;1;1;deep;ad;near;-4,07503;1,852412;out;deuce;far;-2,673828;24,614841;1,363281;down the line;In;false;07:18:11;214,929993
Rikard Rykkvin;1;first_serve;Serve;Flat;130,324203;3;1;1;short;deuce;near;3,375943;6,441414;deep;deuce;far;-0,473145;22,849216;2,337891;out wide;In;false;07:18:28;232,169998
Rasmus Kopperud Riis;2;first_return;Forehand;Topspin;86,441277;3;1;1;deep;ad;far;1,064453;18,295454;out;deuce;near;2,980469;-0,651905;1,013672;down the line;In;false;07:18:29;232,970001
Rikard Rykkvin;3;serve_plus_one;Forehand;Topspin;78,050545;3;1;1;deep;ad;near;-0,72551;2,58745;deep;ad;far;0,859863;23,849216;0,926758;inside out;In;false;07:18:30;234,270004
Rasmus Kopperud Riis;4;return_plus_one;Forehand;Topspin;49,355896;3;1;1;short;ad;near;-0,770996;5,67239;out;ad;near;-0,886719;-1,058155;1,21582;inside out;Net;false;07:18:31;235,570007
Rikard Rykkvin;1;first_serve;Serve;Flat;198,747879;4;1;1;deep;ad;near;-2,980957;5,12412;deep;ad;far;0,22522;23,146091;2,523438;out wide;Out;false;07:18:50;254,240005
Rasmus Kopperud Riis;1;none;Backhand;Flat;64,624641;4;1;1;out;ad;far;1,173828;25,42724;out;ad;near;-3,625;-0,519092;1,336914;cross court;Out;false;07:18:51;255,039993
Rikard Rykkvin;1;second_serve;Serve;Flat;73,84182;4;1;1;short;deuce;far;-1,006836;12,703125;deep;ad;far;0,717773;24,036716;2,488281;down the T;Net;false;07:19:01;264,980011
