Player;Shot;Type;Stroke;Spin;Speed (KM/H);Point;Game;Set;Bounce Depth;Bounce Zone;Bounce Side;Bounce (x);Bounce (y);Hit Depth;Hit Zone;Hit Side;Hit (x);Hit (y);Hit (z);Direction;Result;Favorited;Start Time;Video Time
Rasmus Kopperud Riis;1;first_serve;Serve;Slice;118,37133;1;1;1;short;deuce;far;-1,902509;18,286781;deep;deuce;near;0,926758;0,445376;2,341797;down the T;In;false;07:19:07;
Rikard Rykkvin;2;first_return;Forehand;Topspin;48,330826;1;1;1;short;deuce;far;-0,437988;17,269297;out;deuce;far;-2,707031;24,708591;1,507812;cross court;Net;false;07:19:08;
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;106,7015;2;1;1;short;ad;far;1,605076;16,816118;deep;ad;near;-0,203247;0,699658;2,425781;down the T;In;false;07:19:30;
Rikard Rykkvin;2;first_return;Forehand;Flat;60,439438;2;1;1;short;deuce;far;-1,112305;11,898438;out;ad;far;2,457031;25,630466;0,946289;inside in;Net;false;07:19:31;
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;90,902115;3;1;1;deep;deuce;far;-0,639107;18,297428;deep;deuce;near;1,111328;0,590283;2,425781;down the T;Out;false;07:19:45;
Rikard Rykkvin;2;first_return;Backhand;Slice;48,327435;3;1;1;deep;ad;near;-0,68638;5,171618;out;deuce;far;-0,295654;24,614841;1,392578;inside in;In;false;07:19:46;
Rasmus Kopperud Riis;3;serve_plus_one;Forehand;Topspin;88,017448;3;1;1;deep;ad;far;1,654411;20,574543;deep;ad;near;-0,980469;1,33247;1,064453;inside out;In;false;07:19:49;
Rikard Rykkvin;4;return_plus_one;Backhand;Flat;53,044971;3;1;1;short;ad;near;-0,777344;10,257812;deep;ad;far;2,087891;23,724216;1,208984;cross court;In;false;07:19:50;
Rasmus Kopperud Riis;5;in_play;Volley;Flat;30,662121;3;1;1;short;ad;far;1,631836;18,28125;short;ad;near;-0,777344;10,129345;1,568359;cross court;In;false;07:19:51;
Rikard Rykkvin;0;none;Feed;Flat;37,630787;4;1;1;deep;deuce;near;1,237305;0,671875;short;ad;far;1,694336;14,050184;0,586426;---;In;false;07:20:10;
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;117,881523;4;1;1;deep;ad;far;1,61542;21,763067;deep;ad;near;0,102234;0,643461;2,337891;down the T;Out;false;07:20:24;
Rikard Rykkvin;2;first_return;Forehand;Topspin;57,202023;4;1;1;deep;ad;near;-0,838217;1,649422;out;ad;far;1,889648;25,021091;1,457031;inside out;In;false;07:20:25;
Rasmus Kopperud Riis;3;serve_plus_one;Forehand;Flat;103,45649;4;1;1;deep;deuce;far;-3,077058;23,697535;out;ad;near;-1,201172;-2,894092;1,521484;inside in;In;false;07:20:28;
Rikard Rykkvin;4;return_plus_one;Forehand;Flat;43,548161;4;1;1;short;deuce_alley;far;-4,150464;18,235626;out;deuce;far;-2,898438;25,333591;1,296875;down the line;Net;false;07:20:29;
Rasmus Kopperud Riis;1;first_serve;Serve;Slice;87,756271;5;1;1;short;deuce;far;-3,710163;18,20639;deep;deuce;near;0,22876;0,699658;2,523438;out wide;In;false;07:20:50;
Rikard Rykkvin;2;first_return;Forehand;Topspin;57,946079;5;1;1;deep;deuce_alley;near;5,465295;4,892823;out;deuce_alley;far;-4,941406;25,739841;0,891113;cross court;Out;false;07:20:51;
Rasmus Kopperud Riis;3;serve_plus_one;Forehand;Topspin;68,624489;5;1;1;deep;deuce;far;-0,236877;20,658152;out;deuce_alley;near;5,34375;-1,151905;1,268555;down the line;In;false;07:20:53;
Rikard Rykkvin;1;first_serve;Serve;Flat;47,95002;6;2;1;short;deuce;near;2,291016;6,791255;deep;deuce;near;1,03125;0,574658;2,578125;out wide;Net;false;07:21:39;
Rikard Rykkvin;1;second_serve;Serve;Slice;91,776917;6;2;1;short;deuce;far;-2,426076;18,191683;deep;deuce;near;1,020508;0,543408;2,439453;out wide;In;false;07:21:46;
Rasmus Kopperud Riis;2;second_return;Forehand;Topspin;79,51004;6;2;1;deep;deuce;near;2,15722;4,719848;out;deuce;far;-3,914062;25,630466;1,155273;cross court;In;false;07:21:47;
Rikard Rykkvin;3;serve_plus_one;Forehand;Flat;96,178856;6;2;1;short;center_line;far;0,008556;17,810249;deep;deuce;near;2,332031;0,83247;1,302734;down the line;In;false;07:21:49;
Rasmus Kopperud Riis;4;return_plus_one;Forehand;Topspin;75,195541;6;2;1;deep;ad;near;-1,317538;4,311889;deep;deuce;far;-0,753906;24,239841;1,333984;down the line;In;false;07:21:50;
Rikard Rykkvin;5;in_play;Backhand;Topspin;74,774483;6;2;1;short;ad;far;1,103357;18,164858;out;ad;near;-1,518555;-0,79253;1,140625;cross court;In;false;07:21:51;
Rasmus Kopperud Riis;6;in_play;Forehand;Flat;77,88398;6;2;1;deep;deuce;near;4,08286;3,966591;deep;ad;far;1,753906;23,817966;1,347656;inside in;In;false;07:21:53;
Rikard Rykkvin;7;in_play;Forehand;Flat;53,679733;6;2;1;deep;ad;far;0,985269;20,673973;out;deuce;near;3,394531;-0,472217;1,609375;down the line;In;false;07:21:55;
Rasmus Kopperud Riis;8;in_play;Forehand;Flat;104,709763;6;2;1;deep;ad_alley;near;-4,426105;1,883748;deep;ad;far;0,67041;22,583591;1,705078;inside in;Out;false;07:21:57;
Rasmus Kopperud Riis;0;none;Forehand;Topspin;73,385513;7;2;1;out;ad;near;-1,83699;-1,34746;deep;ad;far;2,830078;23,739841;1,103516;inside out;Out;false;07:22:22;
Rikard Rykkvin;1;first_serve;Serve;Slice;93,427475;8;2;1;short;deuce;far;-1,351011;18,247133;deep;deuce;near;1,148438;0,105908;2,585938;down the T;In;false;07:22:39;
Rasmus Kopperud Riis;2;first_return;Forehand;Topspin;59,491062;8;2;1;deep;deuce;near;1,389927;5,482185;deep;deuce;far;-3,007812;24,333591;1,060547;cross court;In;false;07:22:40;
Rikard Rykkvin;3;serve_plus_one;Forehand;Topspin;85,866203;8;2;1;deep;deuce;far;-0,001633;21,03125;out;deuce;near;1,541992;-0,714405;0,87207;cross court;In;false;07:22:42;
Rasmus Kopperud Riis;4;return_plus_one;Forehand;Topspin;73,272255;8;2;1;short;ad;near;-2,241738;7,053485;out;deuce;far;-0,388672;25,052341;1,072266;down the line;In;false;07:22:44;
Rikard Rykkvin;5;in_play;Backhand;Flat;59,926807;8;2;1;short;ad;far;0,942688;18,232548;deep;ad;near;-2,902344;0,004345;0,794922;cross court;In;false;07:22:45;
Rasmus Kopperud Riis;6;in_play;Forehand;Flat;106,307739;8;2;1;deep;ad;near;-2,628552;3,321173;out;ad;far;2,087891;24,427341;1,364258;inside out;In;false;07:22:48;
Rikard Rykkvin;7;in_play;Backhand;Flat;62,770184;8;2;1;out;deuce_alley;far;-4,122291;24,840872;out;ad;near;-3,365234;-0,737842;1,128906;down the line;Out;false;07:22:49;
Rikard Rykkvin;1;first_serve;Serve;Flat;59,440422;9;2;1;short;deuce_alley;near;5,27506;5,901061;deep;ad;near;-1,365234;0,324658;2,472656;out wide;Net;false;07:23:05;
Rikard Rykkvin;1;second_serve;Serve;Slice;91,674706;9;2;1;deep;ad;far;1,833807;20,786379;deep;ad;near;-1,106445;-0,187263;2,332031;down the T;Out;false;07:23:11;
Rasmus Kopperud Riis;2;second_return;Forehand;Flat;44,625561;9;2;1;short;deuce;near;1,967241;11,372321;out;ad;far;2,173828;25,411716;1,399414;inside in;In;false;07:23:13;
Rikard Rykkvin;1;first_serve;Serve;Flat;94,381233;10;2;1;short;deuce;far;-1,572832;18,276493;deep;deuce;near;0,943848;-0,056627;2,396484;down the T;In;false;07:23:23;
Rasmus Kopperud Riis;2;first_return;Forehand;Topspin;61,552475;10;2;1;deep;deuce;near;2,021827;1,848497;out;deuce;far;-2,835938;24,552341;1,052734;cross court;In;false;07:23:25;
Rikard Rykkvin;3;serve_plus_one;Forehand;Flat;69,057396;10;2;1;deep;ad;far;0,114562;23,237446;out;deuce;near;1,342773;-0,76128;0,946777;down the line;In;false;07:23:26;
Rasmus Kopperud Riis;4;return_plus_one;Forehand;Topspin;45,312748;10;2;1;short;ad;near;-2,125278;8,691167;deep;ad;far;0,129639;23,349216;2,003906;inside out;In;false;07:23:28;
Rikard Rykkvin;5;in_play;Backhand;Slice;70,79847;10;2;1;deep;ad;far;1,210303;21,408516;deep;ad;near;-2,75;1,730908;1,362305;cross court;In;false;07:23:30;
Rasmus Kopperud Riis;6;in_play;Forehand;Flat;89,215515;10;2;1;out;deuce_alley;near;4,289062;-0,609375;deep;ad;far;1,541992;23,646091;0,573242;inside in;Out;false;07:23:32;
Rikard Rykkvin;1;first_serve;Serve;Slice;79,406403;11;2;1;short;ad;far;1,90609;15,389814;deep;ad;near;-2,292969;0,496533;2,46875;down the T;In;false;07:23:56;
Rasmus Kopperud Riis;2;first_return;Forehand;Topspin;68,640488;11;2;1;deep;ad;near;-1,476959;3,545;out;ad;far;3,322266;24,474216;0,834473;inside out;In;false;07:23:57;
Rikard Rykkvin;3;serve_plus_one;Backhand;Flat;70,940758;11;2;1;deep;deuce;far;-3,667196;23,09063;deep;ad;near;-2,347656;0,30122;1,308594;down the line;In;false;07:23:59;
Rasmus Kopperud Riis;4;return_plus_one;Forehand;Flat;85,880394;11;2;1;deep;deuce;near;1,507812;3,5625;out;deuce;far;-2,884766;26,646091;0,733398;cross court;In;false;07:24:01;
Rikard Rykkvin;5;in_play;Forehand;Flat;81,489502;11;2;1;deep;deuce;far;-0,579102;20,8125;deep;deuce;near;2,107422;1,027783;1,072266;cross court;In;false;07:24:02;
Rasmus Kopperud Riis;6;in_play;Forehand;Topspin;75,247704;11;2;1;deep;ad;near;-1,367296;4,764293;out;deuce;far;-0,943848;24,677341;1,139648;down the line;In;false;07:24:03;
Rikard Rykkvin;7;in_play;Backhand;Topspin;82,364388;11;2;1;short;ad;near;-0,265869;11,84375;out;ad;near;-1,700195;-1,112842;1,169922;cross court;Net;false;07:24:05;
Rikard Rykkvin;1;first_serve;Serve;Flat;62,520046;12;2;1;short;ad;near;-0,949707;11,703125;deep;deuce;near;0,253662;0,45747;2,494141;down the T;Net;false;07:24:23;
Rikard Rykkvin;1;second_serve;Serve;Slice;78,41275;12;2;1;short;deuce;far;-1,995712;16,273373;deep;deuce;near;0,891602;0,590283;2,503906;down the T;In;false;07:24:32;
Rasmus Kopperud Riis;2;second_return;Forehand;Topspin;85,8825;12;2;1;deep;ad;near;-0,293063;2,188369;out;deuce;far;-3,847656;25,427341;0,793457;down the line;In;false;07:24:34;
Rikard Rykkvin;3;serve_plus_one;Backhand;Topspin;79,902199;12;2;1;deep;ad;far;2,268692;22,43708;out;ad;near;-0,201904;-0,933155;1,132812;cross court;In;false;07:24:35;
Rasmus Kopperud Riis;4;return_plus_one;Backhand;Topspin;69,248627;12;2;1;deep;deuce;near;1,366784;5,47015;deep;ad;far;2,623047;24,302341;1,15332;down the line;In;false;07:24:37;
Rikard Rykkvin;5;in_play;Forehand;Topspin;88,161133;12;2;1;out;ad;far;3,952989;26,738127;out;deuce;near;0,845703;-1,370655;0,955078;down the line;Out;false;07:24:38;
Rasmus Kopperud Riis;6;in_play;Backhand;Flat;47,671638;12;2;1;short;ad_alley;far;4,160612;17,744474;out;ad;far;3,345703;26,411716;0,998535;down the line;Net;false;07:24:40;
Rikard Rykkvin;1;first_serve;Serve;Slice;94,884743;13;2;1;short;ad;far;1,852495;18,196154;out;ad;near;-1,22168;-0,159717;2,433594;down the T;In;false;07:25:13;
Rasmus Kopperud Riis;2;first_return;Forehand;Topspin;63,949139;13;2;1;short;ad;far;0,973633;11,898438;out;ad;far;2,738281;25,817966;1,107422;inside out;Net;false;07:25:14;
Rikard Rykkvin;1;first_serve;Serve;Slice;83,596695;14;2;1;short;deuce;far;-1,018555;17,0625;deep;deuce;near;0,845215;0,86372;2,455078;down the T;In;false;07:25:45;
Rasmus Kopperud Riis;2;first_return;Forehand;Topspin;69,570679;14;2;1;deep;deuce;near;0,820801;2,585938;deep;deuce;far;-2,201172;23,208591;1,716797;cross court;In;false;07:25:46;
Rikard Rykkvin;3;serve_plus_one;Forehand;Topspin;81,215668;14;2;1;short;deuce;far;-1,731123;18,244848;deep;deuce;near;1,151367;-0,089405;1,320312;cross court;In;false;07:25:48;
Rasmus Kopperud Riis;4;return_plus_one;Forehand;Topspin;84,620155;14;2;1;deep;ad;near;-3,670448;5,324871;out;deuce;far;-3,074219;26,192966;0,502441;down the line;In;false;07:25:49;
Rikard Rykkvin;5;in_play;Backhand;Flat;61,850765;14;2;1;out;deuce;far;-1,400391;24,718224;out;ad;near;-3,40625;-0,464405;0,898438;down the line;Out;false;07:25:51;
Rikard Rykkvin;1;first_serve;Serve;Flat;58,845554;15;2;1;short;deuce;near;1,759766;11,75;deep;ad;near;-1,182617;1,012158;2,234375;out wide;Net;false;07:26:03;
