Set;Host Score;Guest Score;Host Tiebreak Score;Guest Tiebreak Score;Set Winner;Super Tiebreak;Start Time;Video Time;Duration
1;6;3;0;0;host;false;19:16:51;-0,14;1769,859985
2;6;1;0;0;host;false;19:46:21;1769,719971;1487,27002
