Game;Set;Server;Host Set Score;Guest Set Score;Game Winner;Start Time;Video Time;Duration
1;1;host;0;0;host;19:16:51;-0,14;309,230011
2;1;guest;1;0;host;19:22:01;309,100006;263,01001
3;1;host;2;0;guest;19:26:24;572,109985;221,830002
4;1;guest;2;1;host;19:30:05;793,940002;140,529999
5;1;host;3;1;host;19:32:26;934,460022;215,860001
6;1;guest;4;1;host;19:36:02;1150,319946;146,600006
7;1;host;5;1;guest;19:38:28;1296,920044;134,220001
8;1;guest;5;2;guest;19:40:43;1431,140015;187,910004
9;1;host;5;3;host;19:43:51;1619,060059;150,660004
10;2;guest;0;0;host;19:46:21;1769,719971;251,509995
11;2;host;1;0;guest;19:50:33;2021,22998;173,169998
12;2;guest;1;1;host;19:53:26;2194,399902;154,869995
13;2;host;2;1;host;19:56:01;2349,27002;148,759995
14;2;guest;3;1;host;19:58:30;2498,030029;177,979996
15;2;host;4;1;host;20:01:27;2676,01001;433,75
16;2;guest;5;1;host;20:08:41;3109,76001;147,229996
