Player;Shot;Type;Stroke;Spin;Speed (KM/H);Point;Game;Set;Bounce Depth;Bounce Zone;Bounce Side;Bounce (x);Bounce (y);Hit Depth;Hit Zone;Hit Side;Hit (x);Hit (y);Hit (z);Direction;Result;Favorited;Start Time;Video Time
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;94,204239;1;1;1;short;deuce;far;-2,112782;18,25606;deep;deuce;near;0,990723;0,902783;2,476562;down the T;In;false;16:22:56;86,050003
Rikard Rykkvin;1;none;Forehand;Flat;48,073639;1;1;1;short;deuce;far;-2,738281;12,671875;out;deuce;far;-3,318359;25,614841;1,230469;cross court;Net;false;16:22:57;87,389999
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;106,006386;1;1;1;short;deuce;far;-3,317841;18,273132;deep;deuce;near;0,899902;0,746533;2,462891;out wide;In;false;16:23:03;93,160004
Rasmus Kopperud Riis;1;second_serve;Serve;Slice;121,384018;1;1;1;deep;deuce;far;-1,498925;20,464682;deep;deuce;near;0,743164;-0,137629;2,28125;down the T;Out;false;16:23:12;102,190002
Rikard Rykkvin;2;second_return;Backhand;Topspin;52,623394;1;1;1;short;deuce;near;3,142797;7,08765;out;deuce;far;-1,535156;25,083591;1,43457;inside out;In;false;16:23:13;103,169998
Rasmus Kopperud Riis;3;serve_plus_one;Forehand;Topspin;73,485283;1;1;1;deep;ad;far;3,378334;19,507568;deep;deuce;near;4,09375;0,848095;0,670898;down the line;In;false;16:23:15;105,57
Rikard Rykkvin;4;return_plus_one;Backhand;Flat;69,191505;1;1;1;deep;deuce;near;3,237816;3,032285;out;ad;far;2,712891;24,802341;1,322266;down the line;In;false;16:23:17;107,190002
Rasmus Kopperud Riis;5;in_play;Forehand;Flat;55,780983;1;1;1;deep;ad;far;1,518064;21,714531;out;deuce;near;2,873047;-0,315967;0,092529;down the line;In;false;16:23:18;108,690002
Rikard Rykkvin;6;in_play;Forehand;Topspin;83,738701;1;1;1;deep;ad;near;-2,198046;5,244841;deep;ad;far;1,416016;24,146091;1,070312;inside out;In;false;16:23:21;111,690002
Rasmus Kopperud Riis;7;in_play;Backhand;Topspin;83,069481;1;1;1;deep;deuce;far;-0,529785;23,771925;out;ad;near;-3,882812;-0,909717;1,414062;down the line;In;false;16:23:23;113,169998
Rikard Rykkvin;8;in_play;Forehand;Topspin;48,313679;1;1;1;short;deuce;far;-2,511719;12,835938;deep;deuce;far;-0,422363;24,364841;0,35498;cross court;Net;false;16:23:24;114,440002
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;113,947685;2;1;1;deep;ad;far;3,30751;20,184029;deep;ad;near;-0,583008;0,109864;2,277344;out wide;Out;false;16:23:37;127,589996
Rikard Rykkvin;1;none;Backhand;Flat;52,226101;2;1;1;deep;ad;near;-1,46582;2,828125;deep;ad;far;3,626953;23,661716;1,65625;cross court;In;false;16:23:38;128,520004
Rasmus Kopperud Riis;1;second_serve;Serve;Flat;96,882881;2;1;1;deep;ad;far;0,298816;19,253801;deep;ad;near;-0,498535;0,268492;2,382812;down the T;Out;false;16:23:46;135,720001
Rasmus Kopperud Riis;1;first_serve;Serve;Slice;126,009712;3;1;1;deep;deuce;far;-3,807648;21,364428;deep;deuce;near;0,823242;0,321975;2,421875;out wide;Out;false;16:24:13;163,330002
Rikard Rykkvin;1;none;Forehand;Slice;69,377449;3;1;1;deep;ad;near;-1,292164;5,439553;out;deuce_alley;far;-4,460938;24,677341;1,177734;down the line;In;false;16:24:14;164,229996
Rasmus Kopperud Riis;1;second_serve;Serve;Slice;105,329483;3;1;1;short;deuce;far;-1,621871;17,058241;deep;deuce;near;0,868652;0,29121;2,396484;down the T;In;false;16:24:20;169,929993
Rikard Rykkvin;2;second_return;Forehand;Flat;79,885818;3;1;1;short;deuce;far;-2,230469;14,671875;out;deuce;far;-3,078125;25,427341;1,005859;cross court;Net;false;16:24:21;171,160004
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;50,810955;4;1;1;short;deuce;near;2,175781;11,820312;deep;ad;near;-0,091736;0,643461;2,193359;out wide;Net;false;16:24:35;184,889999
Rasmus Kopperud Riis;1;second_serve;Serve;Flat;96,327728;4;1;1;short;ad;far;1,776701;16,665848;deep;ad;near;-0,462891;1,379345;2,380859;down the T;In;false;16:24:42;192,089996
Rikard Rykkvin;2;second_return;Forehand;Topspin;69,870522;4;1;1;deep;deuce;near;1,716255;0,570986;out;ad;far;2,591797;25,771091;0,923828;inside in;In;false;16:24:43;193,429993
Rasmus Kopperud Riis;3;serve_plus_one;Forehand;Topspin;70,836967;4;1;1;deep;deuce;far;-0,446034;20,059868;out;deuce;near;1,638672;-0,433155;1,267578;cross court;In;false;16:24:45;194,990005
Rikard Rykkvin;4;return_plus_one;Forehand;Flat;80,507164;4;1;1;short;deuce;near;0,868125;6,984279;out;deuce;far;-1,079102;26,083591;1,018555;cross court;In;false;16:24:47;196,729996
Rasmus Kopperud Riis;5;in_play;Forehand;Topspin;88,87265;4;1;1;short;ad;far;3,012985;17,649033;out;deuce;near;1,557617;-0,35503;0,936035;down the line;In;false;16:24:48;198,289993
Rikard Rykkvin;6;in_play;Backhand;Flat;50,545021;4;1;1;short;ad;near;-3,988556;8,443891;out;ad;far;3,615234;25,739841;0,77002;cross court;In;false;16:24:49;199,690002
Rasmus Kopperud Riis;7;in_play;Backhand;Slice;81,301613;4;1;1;short;ad;far;1,215633;18,280546;deep;ad_alley;near;-5,175781;1,137158;1,566406;down the line;In;false;16:24:52;202,179993
Rikard Rykkvin;8;in_play;Backhand;Slice;51,309765;4;1;1;short;deuce;near;0,60678;6,471936;deep;ad;far;1,650391;21,708591;1,035156;down the line;In;false;16:24:53;203,559998
Rasmus Kopperud Riis;9;in_play;Forehand;Topspin;95,960442;4;1;1;deep;deuce;far;-2,421282;19,76948;deep;center_line;near;-0,016541;2,01997;0,979492;down the line;In;false;16:24:55;205,229996
Rikard Rykkvin;10;in_play;Forehand;Slice;44,083012;4;1;1;short;deuce;far;-2,544922;16,332033;deep;deuce;far;-2,652344;22,646091;1,830078;cross court;Net;false;16:24:56;206,229996
Rasmus Kopperud Riis;1;first_serve;Serve;Slice;137,3992;5;1;1;deep;deuce;far;-1,623639;20,335962;deep;deuce;near;0,880859;0,698494;2,501953;down the T;Out;false;16:25:15;225,300003
Rikard Rykkvin;1;none;Backhand;Topspin;49,071541;5;1;1;short;ad_alley;near;-4,237193;8,449823;out;deuce;far;-1,615234;24,896091;1,107422;inside in;Out;false;16:25:16;226,080002
Rasmus Kopperud Riis;1;second_serve;Serve;Slice;120,771362;5;1;1;short;deuce;far;-2,977448;18,154129;deep;deuce;near;0,707031;0,096491;2,572266;out wide;In;false;16:25:22;232,199997
Rikard Rykkvin;2;second_return;Forehand;Topspin;72,725525;5;1;1;short;ad;near;-2,450901;7,522727;out;deuce_alley;far;-4,867188;25,614841;0,991211;down the line;In;false;16:25:23;233,380005
Rasmus Kopperud Riis;3;serve_plus_one;Backhand;Topspin;90,693542;5;1;1;out;deuce;far;-0,054043;29,529989;deep;ad;near;-2,083984;0,465283;0,87207;down the line;Out;false;16:25:25;234,960007
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;120,44162;6;1;1;short;ad;far;1,051319;17,810961;deep;ad;near;-0,396973;0,581877;2,289062;down the T;In;false;16:25:40;250,529999
Rikard Rykkvin;2;first_return;Forehand;Slice;63,702202;6;1;1;short;deuce;far;-3,275391;12,304688;out;ad;far;1,540039;25,458591;1,189453;inside in;Net;false;16:25:41;251,559998
Rikard Rykkvin;1;first_serve;Serve;Flat;122,24369;7;2;1;short;deuce;far;-1,951089;17,317043;deep;deuce;near;0,549805;1,05634;2,291016;down the T;In;false;16:26:50;319,799988
Rasmus Kopperud Riis;1;none;Forehand;Flat;55,822441;7;2;1;short;deuce;far;-3,132812;12,9375;out;deuce;far;-3,476562;24,833591;1,095703;cross court;Net;false;16:26:51;320,929993
Rikard Rykkvin;1;first_serve;Serve;Flat;50,750004;7;2;1;short;ad;near;-0,825684;5,506569;deep;deuce;near;0,780762;0,506687;2,476562;out wide;Net;false;16:26:56;326,5
Rikard Rykkvin;1;second_serve;Serve;Slice;121,484993;7;2;1;short;deuce;far;-1,253933;17,64847;deep;deuce;near;-0,053589;0,242112;2,214844;down the T;In;false;16:27:14;343,899994
Rasmus Kopperud Riis;2;second_return;Forehand;Flat;69,62603;7;2;1;short;ad;near;-2,044448;6,577325;deep;deuce;far;-2,28125;24,411716;1,486328;down the line;In;false;16:27:15;344,940002
Rikard Rykkvin;3;serve_plus_one;Backhand;Topspin;73,093239;7;2;1;deep;ad;far;1,65074;18,841084;out;ad;near;-2,300781;-0,26128;0,859375;cross court;In;false;16:27:16;346,470001
Rasmus Kopperud Riis;4;return_plus_one;Backhand;Flat;41,787296;7;2;1;short;ad;far;3,029297;12,304688;deep;ad;far;2,769531;23,692966;1,472656;cross court;Net;false;16:27:18;348,100006
Rikard Rykkvin;1;first_serve;Serve;Flat;112,798752;8;2;1;deep;ad;far;3,046599;18,624249;deep;ad;near;-1,194336;0,915632;2,277344;out wide;Out;false;16:27:44;374,040009
Rasmus Kopperud Riis;1;none;Forehand;Topspin;64,565529;8;2;1;deep;deuce_alley;near;4,752637;4,805993;out;ad;far;3,595703;24,724216;1,253906;inside in;Out;false;16:27:45;375,089996
Rikard Rykkvin;1;second_serve;Serve;Slice;104,573975;8;2;1;short;ad;far;1,668559;18,147079;deep;ad;near;-2,326172;0,824658;2,349609;down the T;In;false;16:27:52;381,869995
Rasmus Kopperud Riis;2;second_return;Forehand;Topspin;62,234203;8;2;1;deep;ad;near;-3,92491;4,895208;out;ad;far;2,701172;24,771091;1,498047;inside out;In;false;16:27:53;383,140015
Rikard Rykkvin;3;serve_plus_one;Backhand;Topspin;47,551079;8;2;1;short;deuce;far;-0,016019;16,593611;deep;ad;near;-2,300781;0,168408;0,724609;down the line;In;false;16:27:54;384,600006
Rasmus Kopperud Riis;4;return_plus_one;Forehand;Topspin;77,924019;8;2;1;short;ad;near;-2,632812;5,507505;deep;ad;far;0,664551;22,427341;1,482422;inside out;In;false;16:27:57;387,670013
Rikard Rykkvin;5;in_play;Backhand;Slice;54,404121;8;2;1;short;deuce;far;-0,150146;16,59375;out;ad;near;-3,398438;-0,190967;1,267578;down the line;In;false;16:27:59;388,839996
Rasmus Kopperud Riis;6;in_play;Overhead;Flat;83,453522;8;2;1;deep;deuce;near;3,544198;3,44212;short;deuce;far;-0,150146;17,239841;2,453125;---;In;false;16:28:00;390,290009
Rikard Rykkvin;1;first_serve;Serve;Flat;127,946007;9;2;1;deep;deuce;far;-2,016356;19,614666;deep;deuce;near;0,614746;1,402783;2,396484;down the T;Out;false;16:28:20;410,269989
Rasmus Kopperud Riis;2;first_return;Forehand;Flat;63,941147;9;2;1;deep;deuce;near;3,467624;2,70065;deep;deuce;far;-2,726562;24,271091;1,152344;cross court;In;false;16:28:21;411,209991
Rikard Rykkvin;3;serve_plus_one;Forehand;Topspin;75,369614;9;2;1;deep;ad;far;1,36578;19,760477;deep;deuce;near;2,273438;0,20747;1,016602;down the line;In;false;16:28:23;412,769989
Rasmus Kopperud Riis;4;return_plus_one;Forehand;Topspin;81,589882;9;2;1;deep;ad;near;-1,41381;2,636665;deep;ad;far;1,412109;24,099216;1,207031;inside out;In;false;16:28:24;414,339996
Rikard Rykkvin;5;in_play;Backhand;Topspin;77,818779;9;2;1;deep;ad;far;1,034543;20,766432;out;ad;near;-2,023438;-0,284717;1,234375;cross court;In;false;16:28:25;415,690002
Rasmus Kopperud Riis;6;in_play;Forehand;Topspin;80,503731;9;2;1;deep;deuce;near;3,374283;1,361303;out;ad;far;1,483398;24,771091;1,404297;inside in;In;false;16:28:27;417,23999
Rikard Rykkvin;7;in_play;Forehand;Topspin;52,146988;9;2;1;short;deuce;far;-0,662928;17,884005;out;deuce;near;3,039062;-0,85503;1,095703;cross court;In;false;16:28:28;418,589996
Rasmus Kopperud Riis;8;in_play;Forehand;Flat;145,505707;9;2;1;deep;ad;near;-1,361884;2,774378;short;deuce;far;-1,908203;18,864841;2,080078;down the line;In;false;16:28:31;421,440002
Rikard Rykkvin;9;in_play;Backhand;Topspin;54,013958;9;2;1;short;ad;far;0,648926;16,421875;out;ad;near;-2,083984;-1,831592;1,099609;cross court;In;false;16:28:32;422,290009
