Stat Name;Host Set 1;Guest Set 1;Host Set 2;Guest Set 2;Host Set 3;Guest Set 3;Host Set 4;Guest Set 4;Host Set 5;Guest Set 5
1st Serves;15;15;15;20;;;;;;
1st Serves In;8;7;11;8;;;;;;
1st Serves Won;2;7;5;7;;;;;;
2nd Serves;7;8;4;12;;;;;;
2nd Serves In;6;6;4;10;;;;;;
2nd Serves Won;1;5;3;6;;;;;;
Break Points;4;0;1;2;;;;;;
Break Points Saved;1;0;0;2;;;;;;
1st Returns;7;8;8;11;;;;;;
1st Returns Won;0;6;1;6;;;;;;
2nd Returns;8;7;12;4;;;;;;
2nd Returns Won;3;6;6;1;;;;;;
Break Point Opportunities;0;4;2;1;;;;;;
Break Points Won;0;3;0;1;;;;;;
Set Points Saved;0;0;0;0;;;;;;
Set Point Opportunities;0;1;0;0;;;;;;
Set Points Won;0;1;0;0;;;;;;
Total Points;30;30;35;35;;;;;;
Total Points Won;6;24;15;20;;;;;;
Aces;0;0;0;0;;;;;;
Service Winners;1;7;3;1;;;;;;
Forehand Winners;0;2;0;1;;;;;;
Backhand Winners;0;3;0;0;;;;;;
Forehand Unforced Errors;7;1;7;4;;;;;;
Backhand Unforced Errors;4;2;7;4;;;;;;
Forehand Forced Errors;0;0;0;0;;;;;;
Backhand Forced Errors;0;0;0;0;;;;;;
Calories Burned (kCAL);0;0;0;0;;;;;;
Distance Run (KM);0;0;0;0;;;;;;
Average Heart Rate (BPM);0;0;0;0;;;;;;
