Point;Game;Set;Serve State;Match Server;Host Game Score;Guest Game Score;Point Winner;Detail;Break Point;Set Point;Favorited;Start Time;Video Time;Duration
1;1;1;second;guest;0;0;host;Forehand Unforced Error;false;false;false;07:21:13;;19,49
2;1;1;second;guest;15;0;host;Backhand Unforced Error;false;false;false;07:21:41;;13,97
3;1;1;second;guest;30;0;host;Double Fault;false;false;false;07:22:13;;8,64
4;1;1;first;guest;40;0;guest;Forehand Unforced Error;true;false;false;07:22:34;;5,55
5;1;1;first;guest;40;15;host;Service Winner;true;false;false;07:22:56;;2,53
6;2;1;second;host;0;0;host;Forehand Winner;false;false;false;07:23:44;;11,91
7;2;1;first;host;15;0;guest;Backhand Unforced Error;false;false;false;07:24:17;;6,89
8;2;1;first;host;15;15;guest;Forehand Unforced Error;false;false;false;07:24:35;;6,1
9;2;1;second;host;15;30;host;Forehand Unforced Error;false;false;false;07:25:15;;11,39
10;2;1;first;host;30;30;guest;Forehand Unforced Error;false;false;false;07:25:43;;4,3
11;2;1;first;host;30;40;host;Forehand Unforced Error;true;false;false;07:26:08;;18,389999
12;2;1;second;host;40;40;host;Backhand Unforced Error;false;false;false;07:26:42;;24,73
13;2;1;first;host;AD;40;host;Forehand Winner;false;false;false;07:27:20;;14,41
14;3;1;first;guest;0;0;guest;Forehand Unforced Error;false;false;false;07:28:06;;15,72
15;3;1;first;guest;0;15;guest;Backhand Unforced Error;false;false;false;07:28:44;;5,94
16;3;1;first;guest;0;30;guest;Backhand Unforced Error;false;false;false;07:29:09;;4,75
17;3;1;first;guest;0;40;host;Forehand Winner;false;false;false;07:29:33;;2,03
18;3;1;first;guest;15;40;guest;Service Winner;false;false;false;07:30:04;;2,12
19;4;1;first;host;0;0;guest;Forehand Unforced Error;false;false;false;07:31:06;;3,29
20;4;1;first;host;0;15;host;Service Winner;false;false;false;07:31:22;;2,25
21;4;1;first;host;15;15;guest;Backhand Unforced Error;false;false;false;07:31:37;;7,62
22;4;1;second;host;15;30;host;Forehand Unforced Error;false;false;false;07:32:03;;12,47
23;4;1;first;host;30;30;host;Service Winner;false;false;false;07:32:29;;4,95
24;4;1;first;host;40;30;host;Backhand Unforced Error;false;false;false;07:32:52;;10,91
25;5;1;first;guest;0;0;host;Forehand Winner;false;false;false;07:33:51;;5,97
26;5;1;second;guest;15;0;host;Double Fault;false;false;false;07:34:20;;7,45
27;5;1;second;guest;30;0;host;Backhand Winner;false;false;false;07:34:43;;13,17
28;5;1;second;guest;40;0;guest;Forehand Unforced Error;true;false;false;07:35:20;;12,76
29;5;1;first;guest;40;15;host;Backhand Unforced Error;true;false;false;07:35:54;;10,16
30;6;1;second;host;0;0;host;Backhand Unforced Error;false;false;false;07:37:33;;14,91
31;6;1;second;host;15;0;host;Service Winner;false;false;false;07:38:04;;12,16
32;6;1;second;host;30;0;guest;Forehand Winner;false;false;false;07:38:36;;11,17
33;6;1;first;host;30;15;guest;Forehand Unforced Error;false;false;false;07:39:04;;4,72
34;6;1;second;host;30;30;guest;Forehand Unforced Error;false;false;false;07:39:21;;10,96
35;6;1;first;host;30;40;host;Forehand Winner;true;false;false;07:39:58;;3,6
36;6;1;first;host;40;40;host;Forehand Winner;false;false;false;07:40:34;;7
37;6;1;first;host;AD;40;guest;Backhand Unforced Error;false;false;false;07:40:54;;3,35
38;6;1;first;host;40;40;host;Service Winner;false;false;false;07:41:17;;2,63
39;6;1;first;host;AD;40;host;Service Winner;false;false;false;07:41:31;;2,25
40;7;1;second;guest;0;0;host;Forehand Unforced Error;false;false;false;07:42:39;;10,37
41;7;1;first;guest;15;0;guest;Service Winner;false;false;false;07:43:17;;2,5
42;7;1;first;guest;15;15;host;Forehand Unforced Error;false;false;false;07:43:30;;6,17
43;7;1;first;guest;30;15;guest;Service Winner;false;false;false;07:43:48;;2,47
44;7;1;first;guest;30;30;guest;Service Winner;false;false;false;07:44:12;;2,25
45;7;1;first;guest;30;40;guest;Service Winner;false;false;false;07:44:26;;2,05
46;8;1;first;host;0;0;host;Service Winner;false;false;false;07:45:32;;3,1
47;8;1;first;host;15;0;guest;Backhand Unforced Error;false;false;false;07:45:44;;6,82
48;8;1;first;host;15;15;host;Forehand Unforced Error;false;false;false;07:46:03;;11,12
49;8;1;second;host;30;15;guest;Backhand Unforced Error;false;false;false;07:46:28;;10,12
50;8;1;first;host;30;30;host;Forehand Unforced Error;false;false;false;07:46:56;;13,69
51;8;1;second;host;40;30;guest;Backhand Unforced Error;false;true;false;07:47:31;;11,44
52;8;1;first;host;40;40;host;Forehand Unforced Error;false;false;false;07:48:01;;14,94
53;8;1;first;host;AD;40;host;Service Winner;false;true;false;07:48:42;;2,57
54;9;2;first;guest;0;0;guest;Backhand Unforced Error;false;false;false;07:50:10;;5,89
55;9;2;first;guest;0;15;host;Forehand Winner;false;false;false;07:50:34;;2,43
56;9;2;first;guest;15;15;host;Forehand Unforced Error;false;false;false;07:50:57;;7,25
57;9;2;second;guest;30;15;host;Forehand Winner;false;false;false;07:51:22;;10,87
58;9;2;second;guest;40;15;host;Double Fault;true;false;false;07:51:49;;11,31
59;10;2;second;host;0;0;host;Service Winner;false;false;false;07:52:41;;8,67
60;10;2;second;host;15;0;host;Forehand Unforced Error;false;false;false;07:53:07;;12,44
61;10;2;second;host;30;0;host;Backhand Winner;false;false;false;07:53:37;;13,44
62;10;2;second;host;40;0;guest;Double Fault;false;false;false;07:54:16;;7,15
63;10;2;first;host;40;15;guest;;false;false;false;07:54:45;;13,19
64;10;2;second;host;40;30;guest;Double Fault;false;false;false;07:55:14;;9,34
65;10;2;first;host;40;40;guest;Forehand Unforced Error;false;false;false;07:55:35;;3,35
66;10;2;second;host;40;AD;host;Forehand Unforced Error;true;false;false;07:55:53;;11,62
67;10;2;second;host;40;40;host;Service Winner;false;false;false;07:56:23;;7,8
68;10;2;first;host;AD;40;host;Forehand Unforced Error;false;false;false;07:56:44;;4,17
