Stat Name;Host Set 1;Guest Set 1;Host Set 2;Guest Set 2;Host Set 3;Guest Set 3;Host Set 4;Guest Set 4;Host Set 5;Guest Set 5
1st Serves;32;21;10;5;;;;;;
1st Serves In;22;14;3;3;;;;;;
1st Serves Won;14;9;1;1;;;;;;
2nd Serves;10;7;7;2;;;;;;
2nd Serves In;10;5;5;1;;;;;;
2nd Serves Won;6;1;5;0;;;;;;
Break Points;2;4;1;1;;;;;;
Break Points Saved;2;2;1;0;;;;;;
1st Returns;14;22;3;3;;;;;;
1st Returns Won;5;8;2;2;;;;;;
2nd Returns;7;10;2;7;;;;;;
2nd Returns Won;6;4;2;2;;;;;;
Break Point Opportunities;4;2;1;1;;;;;;
Break Points Won;2;0;1;0;;;;;;
Set Points Saved;0;1;0;0;;;;;;
Set Point Opportunities;2;0;0;0;;;;;;
Set Points Won;1;0;0;0;;;;;;
Total Points;53;53;15;15;;;;;;
Total Points Won;31;22;10;5;;;;;;
Aces;0;0;0;0;;;;;;
Service Winners;7;6;2;0;;;;;;
Forehand Winners;6;1;2;0;;;;;;
Backhand Winners;1;0;1;0;;;;;;
Forehand Unforced Errors;8;9;1;4;;;;;;
Backhand Unforced Errors;8;5;1;0;;;;;;
Forehand Forced Errors;0;0;0;0;;;;;;
Backhand Forced Errors;0;0;0;0;;;;;;
Calories Burned (kCAL);0;0;0;0;;;;;;
Distance Run (KM);0;0;0;0;;;;;;
Average Heart Rate (BPM);0;0;0;0;;;;;;
