Stat Name;Host Set 1;Guest Set 1;Host Set 2;Guest Set 2;Host Set 3;Guest Set 3;Host Set 4;Guest Set 4;Host Set 5;Guest Set 5
1st Serves;20;22;16;18;;;;;;
1st Serves In;10;17;9;9;;;;;;
1st Serves Won;4;8;7;5;;;;;;
2nd Serves;10;5;7;9;;;;;;
2nd Serves In;10;4;4;5;;;;;;
2nd Serves Won;9;1;3;2;;;;;;
Break Points;1;3;0;3;;;;;;
Break Points Saved;0;0;0;1;;;;;;
1st Returns;17;10;9;9;;;;;;
1st Returns Won;9;6;4;2;;;;;;
2nd Returns;5;10;9;7;;;;;;
2nd Returns Won;4;1;7;4;;;;;;
Break Point Opportunities;3;1;3;0;;;;;;
Break Points Won;3;1;2;0;;;;;;
Set Points Saved;0;0;0;0;;;;;;
Set Point Opportunities;1;0;0;0;;;;;;
Set Points Won;1;0;0;0;;;;;;
Total Points;42;42;34;34;;;;;;
Total Points Won;26;16;21;13;;;;;;
Aces;1;0;0;0;;;;;;
Service Winners;4;2;4;2;;;;;;
Forehand Winners;4;1;3;0;;;;;;
Backhand Winners;0;0;1;0;;;;;;
Forehand Unforced Errors;9;11;2;2;;;;;;
Backhand Unforced Errors;1;4;5;5;;;;;;
Forehand Forced Errors;0;0;0;0;;;;;;
Backhand Forced Errors;0;0;0;0;;;;;;
Calories Burned (kCAL);0;0;0;0;;;;;;
Distance Run (KM);0;0;0;0;;;;;;
Average Heart Rate (BPM);0;0;0;0;;;;;;
