Player;Shot;Type;Stroke;Spin;Speed (KM/H);Point;Game;Set;Bounce Depth;Bounce Zone;Bounce Side;Bounce (x);Bounce (y);Hit Depth;Hit Zone;Hit Side;Hit (x);Hit (y);Hit (z);Direction;Result;Favorited;Start Time;Video Time
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;102,974319;1;1;1;short;deuce_alley;near;4,411899;7,429397;deep;deuce;far;-0,185791;22,818127;2,408203;out wide;Out;false;07:19:43;97,010002
Rikard Rykkvin;1;none;Forehand;Slice;26,061495;1;1;1;out;deuce_alley;near;4,95225;-0,094127;short;deuce;near;2,15625;8,623191;2,908203;down the line;Net;false;07:19:45;98,860001
Rikard Rykkvin;2;none;Feed;Flat;22,731396;1;1;1;short;ad_alley;far;5,40183;15,484375;short;deuce;near;3,009766;11,576316;3,566406;---;Out;false;07:19:46;99,559998
Rasmus Kopperud Riis;1;second_serve;Serve;Flat;46,723114;1;1;1;short;ad;far;1,173828;12,578125;deep;deuce;far;-0,519531;22,505663;2,359375;down the T;Net;false;07:19:55;108,709999
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;87,81002;2;1;1;short;ad;near;-1,845791;7,347471;deep;ad;far;0,531738;22,458788;2,367188;down the T;In;false;07:20:06;119,540001
Rikard Rykkvin;2;first_return;Forehand;Topspin;84,485886;2;1;1;deep;ad;far;1,447846;20,790106;out;ad;near;-2,513672;-1,697122;0,867188;inside out;In;false;07:20:07;120,860001
Rasmus Kopperud Riis;3;serve_plus_one;Backhand;Topspin;77,495644;2;1;1;out;ad;near;-3,078493;-0,070878;deep;ad;far;1,970703;24,693163;1,501953;cross court;Out;false;07:20:08;122,459999
Rikard Rykkvin;4;return_plus_one;Backhand;Topspin;60,505241;2;1;1;deep;ad_alley;far;5,241268;23,703522;out;ad;near;-2,248047;-0,720559;0,423584;down the line;Out;false;07:20:10;123,860001
Rasmus Kopperud Riis;5;in_play;Backhand;Flat;41,612354;2;1;1;short;ad;far;3,873047;16,015625;out;ad_out;far;5,5625;26,490038;2,917969;down the line;Net;false;07:20:13;126,589996
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;105,899292;3;1;1;short;deuce;near;1,962509;7,875182;deep;deuce;far;-0,364014;23,240038;2,298828;down the T;In;false;07:20:25;138,570007
Rikard Rykkvin;2;first_return;Forehand;Topspin;52,380356;3;1;1;short;deuce;near;2,898438;5,996119;out;deuce;near;3,443359;-1,345559;0,798828;cross court;Net;false;07:20:26;139,75
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;94,955681;4;1;1;short;ad;near;-1,821687;7,996379;deep;ad;far;0,377686;22,615038;2,564453;down the T;In;false;07:20:46;160,229996
Rikard Rykkvin;2;first_return;Forehand;Topspin;90,411911;4;1;1;short;ad;far;2,321157;18,056572;out;ad;near;-2,458984;-2,03306;0,958008;inside out;In;false;07:20:47;161,449997
Rasmus Kopperud Riis;3;serve_plus_one;Backhand;Flat;74,420746;4;1;1;short;ad;far;1,337891;16,179838;deep;ad;far;3,791016;24,880663;0,88623;cross court;Net;false;07:20:49;163,100006
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;94,393837;5;1;1;short;deuce;near;2,662629;5,875104;deep;deuce;far;-0,440918;23,802538;2,400391;out wide;In;false;07:21:08;182
Rikard Rykkvin;1;none;Forehand;Topspin;89,091797;5;1;1;deep;ad;far;0,668172;22,656061;out;deuce_alley;near;4,203125;-1,236184;0,875488;down the line;In;false;07:21:09;183,149994
Rasmus Kopperud Riis;2;none;Forehand;Flat;68,742844;5;1;1;deep;ad;near;-2,062258;4,003413;deep;ad;far;0,116333;23,583788;1,458008;inside out;In;false;07:21:11;184,669998
Rikard Rykkvin;3;none;Backhand;Topspin;67,991013;5;1;1;short;ad;far;0,087854;17,556873;out;ad;near;-2,275391;-1,540872;1,1875;cross court;In;false;07:21:12;186,350006
Rasmus Kopperud Riis;4;none;Forehand;Flat;67,910728;5;1;1;short;ad;near;-2,944314;7,524212;out;ad;far;0,901367;25,365038;1,101562;inside out;In;false;07:21:14;188,169998
Rikard Rykkvin;5;none;Backhand;Slice;57,66291;5;1;1;short;deuce;near;1,135482;10,1875;deep;ad;near;-3,783203;0,646628;0,491699;down the line;Net;false;07:21:16;190,050003
Rikard Rykkvin;6;none;Feed;Flat;33,55862;5;1;1;deep;ad;far;2,220128;18,461742;short;deuce;near;2,060547;10,068503;3,191406;---;In;false;07:21:21;195,050003
Rasmus Kopperud Riis;1;second_serve;Serve;Flat;97,690941;5;1;1;short;deuce;near;3,567931;7,490565;deep;deuce;far;-0,427246;22,65391;2,417969;out wide;In;false;07:21:45;218,649994
Rikard Rykkvin;2;second_return;Forehand;Topspin;78,423195;5;1;1;out;ad;far;2,349723;26,097298;deep;deuce_alley;near;4,140625;0,420066;1,623047;down the line;Out;false;07:21:46;219,949997
Rasmus Kopperud Riis;3;serve_plus_one;Backhand;Flat;51,945091;5;1;1;deep;deuce_alley;near;5,151731;3,767919;deep;ad;far;1,875977;24,083788;0,2229;down the line;Out;false;07:21:47;221,5
Rikard Rykkvin;4;return_plus_one;Backhand;Topspin;59,902779;5;1;1;deep;deuce;far;-2,662429;23,467686;deep;deuce;near;2,207031;2,201315;2,240234;inside out;In;false;07:21:51;224,649994
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;103,734093;6;1;1;deep;ad;near;-2,012879;4,734548;deep;ad;far;0,693848;22,630663;2,363281;down the T;Out;false;07:22:03;237,460007
Rikard Rykkvin;1;none;Forehand;Topspin;65,007812;6;1;1;deep;ad;far;3,229317;20,431849;out;ad;near;-2,408203;-1,134622;1,275391;inside out;In;false;07:22:05;238,539993
Rasmus Kopperud Riis;2;none;Backhand;Flat;57,683067;6;1;1;short;ad;near;-3,686122;9,049887;deep;ad;far;3,914062;24,615038;1,662109;cross court;In;false;07:22:07;240,759995
Rikard Rykkvin;3;none;Backhand;Flat;70,60556;6;1;1;out;deuce;far;-2,45221;27,753029;deep;ad_alley;near;-5,273438;0,240378;0,989258;down the line;Out;false;07:22:09;242,889999
Rasmus Kopperud Riis;4;none;Forehand;Topspin;27,761175;6;1;1;short;ad;far;0,820801;14,53125;short;ad;far;0,347412;18,458788;4,148438;inside out;Net;false;07:22:12;245,740005
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;95,608452;6;1;1;short;ad;near;-2,820016;6,160829;deep;ad;far;0,871094;23,318163;2,535156;out wide;In;false;07:22:23;256,98999
Rikard Rykkvin;6;none;Forehand;Topspin;79,770195;6;1;1;deep;ad;far;1,990957;22,553177;out;ad;near;-3,730469;-2,197122;0,807617;inside out;In;false;07:22:24;258,339996
Rasmus Kopperud Riis;7;none;Forehand;Topspin;66,186539;6;1;1;deep;deuce;near;1,293962;4,47399;deep;ad;far;1,84082;24,911913;1,111328;inside in;In;false;07:22:26;259,820007
Rikard Rykkvin;8;none;Forehand;Topspin;77,910561;6;1;1;deep;ad;far;2,41741;20,21484;out;deuce;near;1,099609;-1,423684;1,367188;down the line;In;false;07:22:28;261,640015
Rasmus Kopperud Riis;9;none;Backhand;Flat;71,095619;6;1;1;deep;deuce;near;3,710457;1,692575;out;ad;far;2,646484;25,115038;1,976562;down the line;In;false;07:22:29;263,290009
Rikard Rykkvin;10;none;Forehand;Topspin;58,169849;6;1;1;out;deuce;far;-2,30736;24,358973;out;deuce;near;3,603516;-1,728372;1,720703;cross court;Out;false;07:22:31;265,040009
Rasmus Kopperud Riis;11;none;Forehand;Topspin;74,998314;6;1;1;deep;ad;near;-2,73638;4,753668;out;deuce;far;-2,857422;25,677538;1,296875;down the line;In;false;07:22:34;268,48999
Rikard Rykkvin;12;none;Backhand;Topspin;61,88266;6;1;1;out;ad;far;0,580482;26,822815;out;ad;near;-2,916016;-2,056497;1,763672;cross court;Out;false;07:22:36;270,140015
Rasmus Kopperud Riis;1;second_serve;Serve;Flat;144,704514;6;1;1;short;ad;near;-2,781199;8,148024;deep;ad;far;0,483154;23,708788;2,455078;out wide;In;false;07:22:53;287,26001
Rikard Rykkvin;2;second_return;Backhand;Topspin;84,180283;6;1;1;short;ad;far;0,444646;18,056715;out;ad_alley;near;-4,472656;-1,931497;0,72998;down the line;In;false;07:22:54;288,23999
Rasmus Kopperud Riis;3;serve_plus_one;Forehand;Topspin;54,194283;6;1;1;short;deuce;far;-1,31543;12,53125;deep;ad;far;1,59375;24,349413;1,205078;inside in;Net;false;07:22:56;289,76001
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;108,92585;7;1;1;deep;deuce;near;2,269266;5,047492;deep;deuce;far;-0,478271;23,861275;2,304688;down the T;Out;false;07:23:09;302,519989
Rikard Rykkvin;1;none;Forehand;Topspin;81,506035;7;1;1;out;ad;far;3,307316;26,930225;out;deuce;near;3,501953;-1,697122;0,968262;down the line;Out;false;07:23:10;303,540009
Rasmus Kopperud Riis;1;second_serve;Serve;Flat;112,599915;7;1;1;short;deuce;near;0,7938;7,88581;deep;deuce;far;-0,456055;23,319557;2,324219;down the T;In;false;07:23:20;314,290009
Rikard Rykkvin;2;second_return;Forehand;Slice;52,16177;7;1;1;short;deuce_alley;near;4,546754;8,953125;out;deuce;near;1,836914;-1,150247;1,040039;down the line;Net;false;07:23:21;315,339996
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;117,050308;8;1;1;short;ad;near;-2,590013;6,508989;deep;ad;far;0,480957;22,865038;2,445312;out wide;In;false;07:23:37;331,429993
Rikard Rykkvin;2;first_return;Forehand;Topspin;64,917923;8;1;1;short;ad_alley;far;5,483125;18,249296;out;ad;near;-3,927734;-1,353372;0,980469;inside in;Out;false;07:23:38;332,429993
