Game;Set;Server;Host Set Score;Guest Set Score;Game Winner;Start Time;Video Time;Duration
1;1;guest;0;0;guest;07:19:45;99,010002;245,130005
2;1;host;0;1;guest;07:23:50;344,130005;197,080002
3;1;guest;0;2;guest;07:27:07;541,210022;192,580002
4;1;host;0;3;guest;07:30:20;733,789978;153,190002
5;1;guest;0;4;guest;07:32:53;886,97998;176,380005
6;1;host;0;5;guest;07:35:49;1063,359985;216,800003
7;2;guest;0;0;guest;07:39:26;1280,160034;144,350006
8;2;host;0;1;host;07:41:51;1424,51001;168,779999
9;2;guest;1;1;host;07:44:39;1593,290039;214,550003
10;2;host;2;1;guest;07:48:14;1807,839966;293,899994
11;2;guest;2;2;guest;07:53:08;2101,73999;177,679993
12;2;host;2;3;host;07:56:05;2279,419922;144,600006
13;2;guest;3;3;host;07:58:30;2424,02002;210,479996
14;2;host;4;3;draw;08:02:00;2634,5;
