Set;Host Score;Guest Score;Host Tiebreak Score;Guest Tiebreak Score;Set Winner;Super Tiebreak;Start Time;Video Time;Duration
1;0;6;0;0;guest;false;07:19:45;99,010002;1181,150024
2;4;3;0;0;draw;false;07:39:26;1280,160034;
