Point;Game;Set;Serve State;Match Server;guest Game Score;host Game Score;Point Winner;Detail;Break Point;Set Point;Favorited;Start Time;Video Time;Duration
1;1;1;second;host;0;0;guest;Double Fault;false;false;false;07:19:45;99,010002;12,55
2;1;1;first;host;15;0;host;;false;false;false;07:20:08;121,540001;8,52
3;1;1;first;host;15;15;host;Service Winner;false;false;false;07:20:27;140,570007;2,18
4;1;1;first;host;15;30;guest;Backhand Unforced Error;false;false;false;07:20:48;162,229996;3,52
5;1;1;second;host;30;30;host;Forehand Unforced Error;false;false;false;07:21:10;184;44,099998
6;1;1;second;host;30;40;guest;Forehand Unforced Error;false;false;false;07:22:05;239,460007;53,18
7;1;1;second;host;40;40;host;Service Winner;false;false;false;07:23:11;304,519989;13,82
8;1;1;first;host;40;AD;host;Service Winner;false;false;false;07:23:39;333,429993;10,7
9;2;1;second;guest;0;0;host;Double Fault;false;false;false;07:24:51;404,940002;7,28
10;2;1;first;guest;0;15;host;Backhand Unforced Error;false;false;false;07:25:21;435,470001;2,95
11;2;1;second;guest;0;30;host;Forehand Unforced Error;false;false;false;07:25:37;450,570007;18,549999
12;2;1;second;guest;0;40;host;;true;false;false;07:26:14;488,399994;52,810001
13;3;1;first;host;0;0;guest;;false;false;false;07:27:47;580,559998;1,85
14;3;1;first;host;15;0;host;Backhand Unforced Error;false;false;false;07:28:00;594,419983;13,98
15;3;1;first;host;15;15;host;Backhand Unforced Error;false;false;false;07:28:36;629,820007;5,08
16;3;1;first;host;15;30;guest;Backhand Unforced Error;false;false;false;07:29:00;653,950012;4,37
17;3;1;first;host;30;30;host;Backhand Unforced Error;false;false;false;07:29:18;671,849976;5,05
18;3;1;first;host;30;40;host;Forehand Winner;false;false;false;07:30:19;732,539978;1,25
19;4;1;first;guest;0;0;host;Backhand Unforced Error;false;false;false;07:30:28;741,73999;33,25
20;4;1;first;guest;0;15;host;Backhand Unforced Error;false;false;false;07:31:18;791,840027;4,85
21;4;1;first;guest;0;30;guest;Backhand Winner;false;false;false;07:31:43;816,900024;7,73
22;4;1;second;guest;15;30;host;Backhand Winner;false;false;false;07:32:08;841,72998;18,27
23;4;1;first;guest;15;40;host;Backhand Winner;true;false;false;07:32:45;879,460022;7,52
24;5;1;first;host;0;0;host;Service Winner;false;false;false;07:33:19;912,690002;2,08
25;5;1;second;host;0;15;guest;;false;false;false;07:33:30;924,27002;16,48
26;5;1;second;host;15;15;guest;;false;false;false;07:33:53;947,359985;18,33
27;5;1;first;host;30;15;host;Service Winner;false;false;false;07:35:21;1035,359985;2
28;5;1;first;host;30;30;host;Ace;false;false;false;07:35:38;1051,880005;0,68
29;5;1;first;host;30;40;host;Ace;false;false;false;07:35:49;1062,76001;0,6
30;6;1;first;guest;0;0;host;Forehand Unforced Error;false;false;false;07:36:08;1081,810059;43,549999
31;6;1;first;guest;0;15;guest;Backhand Unforced Error;false;false;false;07:38:12;1205,550049;5,62
32;6;1;first;guest;15;15;host;Forehand Unforced Error;false;false;false;07:38:32;1226,459961;3,88
33;6;1;second;guest;15;30;host;;false;false;false;07:38:48;1241,790039;17
34;6;1;first;guest;15;40;host;Forehand Winner;true;false;false;07:39:20;1273,589966;6,57
35;7;2;second;host;0;0;host;;false;false;false;07:40:04;1317,930054;10,6
36;7;2;first;host;0;15;host;Service Winner;false;false;false;07:40:30;1344,25;1,78
37;7;2;first;host;0;30;host;Service Winner;false;false;false;07:41:34;1408,339966;2,48
38;7;2;first;host;0;40;host;Service Winner;false;false;false;07:41:48;1422,170044;2,33
39;8;2;second;guest;0;0;guest;Backhand Winner;false;false;false;07:42:07;1440,569946;13,27
40;8;2;second;guest;15;0;host;Double Fault;false;false;false;07:42:40;1474,23999;11,63
41;8;2;first;guest;15;15;guest;Service Winner;false;false;false;07:43:00;1493,969971;2,35
42;8;2;first;guest;30;15;guest;;false;false;false;07:43:36;1529,930054;26,43
43;8;2;first;guest;40;15;guest;Forehand Unforced Error;false;false;false;07:44:22;1576,430054;16,870001
44;9;2;first;host;0;0;guest;Backhand Winner;false;false;false;07:45:01;1614,550049;5,27
45;9;2;first;host;15;0;guest;Forehand Unforced Error;false;false;false;07:45:19;1633,089966;6,22
46;9;2;first;host;30;0;guest;Backhand Unforced Error;false;false;false;07:45:40;1653,819946;16,08
47;9;2;first;host;40;0;host;Backhand Unforced Error;true;false;false;07:46:52;1726,380005;5,22
48;9;2;second;host;40;15;host;;true;false;false;07:47:08;1741,680054;17,92
49;9;2;second;host;40;30;guest;Forehand Unforced Error;true;false;false;07:47:36;1770,209961;37,630001
50;10;2;second;guest;0;0;guest;Forehand Unforced Error;false;false;false;07:48:48;1841,930054;52,25
51;10;2;second;guest;15;0;guest;Service Winner;false;false;false;07:50:05;1919,390015;13,3
52;10;2;first;guest;30;0;host;Forehand Unforced Error;false;false;false;07:50:42;1956,25;16,219999
53;10;2;first;guest;30;15;guest;Forehand Unforced Error;false;false;false;07:51:11;1985,180054;11,88
54;10;2;second;guest;40;15;host;Double Fault;false;false;false;07:51:49;2023,47998;10,17
55;10;2;first;guest;40;30;host;Forehand Unforced Error;false;false;false;07:52:17;2051,47998;7,38
56;10;2;first;guest;40;40;host;Backhand Unforced Error;false;false;false;07:52:37;2070,659912;16,48
57;10;2;first;guest;40;AD;host;;true;false;false;07:52:53;2087,139893;14,6
58;11;2;second;host;0;0;guest;Forehand Unforced Error;false;false;false;07:53:08;2101,73999;44,41
59;11;2;first;host;15;0;host;Service Winner;false;false;false;07:54:06;2160,100098;3,85
60;11;2;first;host;15;15;guest;Forehand Unforced Error;false;false;false;07:54:20;2173,949951;4
61;11;2;first;host;30;15;host;Service Winner;false;false;false;07:54:49;2203,22998;4,42
62;11;2;first;host;30;30;host;Ace;false;false;false;07:55:04;2218,22998;0,5
63;11;2;first;host;30;40;host;Forehand Winner;false;false;false;07:56:00;2273,540039;5,88
64;12;2;second;guest;0;0;guest;Backhand Winner;false;false;false;07:56:51;2325,120117;13,2
65;12;2;first;guest;15;0;guest;Service Winner;false;false;false;07:57:24;2357,909912;3,92
66;12;2;second;guest;30;0;guest;Service Winner;false;false;false;07:57:44;2378,01001;36,310001
67;12;2;first;guest;40;0;guest;Service Winner;false;false;false;07:58:28;2421,909912;2,12
68;13;2;first;host;0;0;guest;Forehand Unforced Error;false;false;false;07:59:02;2456,340088;10,58
69;13;2;second;host;15;0;host;Forehand Unforced Error;false;false;false;07:59:25;2478,600098;11,9
70;13;2;first;host;15;15;host;;false;false;false;07:59:51;2505,330078;6,88
71;13;2;second;host;15;30;guest;Double Fault;false;false;false;08:00:09;2523,5;2,93
72;13;2;first;host;30;30;host;Backhand Unforced Error;false;false;false;08:00:26;2540,080078;11,58
73;13;2;second;host;30;40;guest;Forehand Unforced Error;false;false;false;08:00:52;2566,429932;18,48
74;13;2;first;host;40;40;guest;Forehand Unforced Error;false;false;false;08:01:36;2610,48999;3,8
75;13;2;first;host;AD;40;guest;Backhand Unforced Error;true;false;false;08:01:53;2626,919922;7,58
