Game;Set;Server;Host Set Score;Guest Set Score;Game Winner;Start Time;Video Time;Duration
1;1;guest;0;0;guest;16:22:58;88,050003;166,330002
2;1;host;0;1;guest;16:25:44;254,380005;267,829987
3;1;guest;0;2;guest;16:30:12;522,210022;112,290001
4;1;host;0;3;guest;16:32:04;634,5;186,360001
5;1;guest;0;4;guest;16:35:11;820,859985;107,160004
6;1;host;0;5;guest;16:36:58;928,02002;174,660004
7;2;guest;0;0;guest;16:39:52;1102,670044;348,070007
8;2;host;0;1;host;16:45:41;1450,73999;155,509995
9;2;guest;1;1;guest;16:48:16;1606,25;194,330002
10;2;host;1;2;host;16:51:30;1800,579956;167,380005
11;2;guest;2;2;guest;16:54:18;1967,949951;209,929993
12;2;host;2;3;guest;16:57:48;2177,879883;146,710007
13;2;guest;2;4;draw;17:00:14;2324,590088;
