Set;Host Score;Guest Score;Host Tiebreak Score;Guest Tiebreak Score;Set Winner;Super Tiebreak;Start Time;Video Time;Duration
1;0;6;0;0;guest;false;16:22:58;88,050003;1014,619995
2;2;4;0;0;draw;false;16:39:52;1102,670044;
