Player;Shot;Type;Stroke;Spin;Speed (KM/H);Point;Game;Set;Bounce Depth;Bounce Zone;Bounce Side;Bounce (x);Bounce (y);Hit Depth;Hit Zone;Hit Side;Hit (x);Hit (y);Hit (z);Direction;Result;Favorited;Start Time;Video Time
Rasmus Kopperud Riis;1;second_serve;Serve;Flat;93,564133;34;6;1;short;deuce;near;1,759396;7,211169;deep;deuce;far;-0,403564;22,646091;2,273438;down the T;In;false;07:39:27;
Rikard Rykkvin;2;second_return;Backhand;Topspin;77,391731;34;6;1;deep;deuce;far;-0,156481;20;out;deuce;near;3,451172;-1,440967;0,912109;inside out;In;false;07:39:28;
Rasmus Kopperud Riis;3;serve_plus_one;Forehand;Topspin;54,866352;34;6;1;short;ad;far;0,731445;11,898438;deep;deuce;far;-0,035675;23,427341;1,015625;down the line;Net;false;07:39:29;
Rikard Rykkvin;0;none;Feed;Flat;37,630787;35;6;1;short;ad;far;3,322266;17,328125;short;deuce;near;2,261719;10,83247;1,835938;---;In;false;07:39:44;
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;108,648651;35;6;1;short;ad;near;-3,669781;6,399825;deep;ad;far;0,356445;22,989841;2,595703;out wide;In;false;07:39:56;
Rikard Rykkvin;2;first_return;Backhand;Flat;55,499672;35;6;1;short;ad;far;0,353339;18,112217;deep;ad_alley;near;-5,019531;0,754345;1,130859;down the line;In;false;07:39:57;
Rasmus Kopperud Riis;3;serve_plus_one;Forehand;Flat;93,263573;35;6;1;deep;deuce;near;3,058953;3,104435;deep;ad;far;1,208008;22,802341;1,134766;inside in;In;false;07:39:59;
Rikard Rykkvin;0;none;Feed;Flat;34,119991;36;6;1;short;ad;far;3,175999;18,065525;short;deuce;near;2,0625;8,637242;2,421875;---;In;false;07:40:17;
Rikard Rykkvin;1;none;Feed;Flat;34,546848;36;6;1;short;ad;far;3,750465;17,767464;short;deuce;near;2,136719;9,605907;0,363525;---;In;false;07:40:19;
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;110,649277;36;6;1;short;deuce;near;1,901413;6,601552;deep;deuce;far;-0,290771;22,818127;2,359375;down the T;In;false;07:40:32;
Rikard Rykkvin;2;first_return;Backhand;Topspin;82,611748;36;6;1;deep;ad;far;1,52832;20,390625;out;deuce;near;2,947266;-0,85503;1,128906;inside in;In;false;07:40:33;
