Point;Game;Set;Serve State;Match Server;Host Game Score;Guest Game Score;Point Winner;Detail;Break Point;Set Point;Favorited;Start Time;Video Time;Duration
66;11;2;first;guest;30;15;guest;Forehand Unforced Error;false;false;false;06:56:48;2022,530029;5,1
67;11;2;first;guest;30;30;guest;Forehand Unforced Error;false;false;false;06:57:11;2045,670044;7
68;11;2;first;guest;30;40;guest;Forehand Unforced Error;false;false;false;06:57:29;2063,580078;11,14
69;12;2;second;host;0;0;host;Service Winner;false;false;false;06:58:12;2106,360107;10,57
70;12;2;first;host;15;0;host;Service Winner;false;false;false;06:58:39;2133,939941;1,73
71;12;2;second;host;30;0;host;Service Winner;false;false;false;06:58:50;2144,949951;44,849998
72;12;2;first;host;40;0;host;;false;false;false;06:59:35;2189,800049;5,16
73;13;2;first;guest;0;0;host;Forehand Unforced Error;false;false;false;07:00:18;2232,350098;3,27
74;13;2;first;guest;15;0;guest;Forehand Unforced Error;false;false;false;07:00:31;2245,889893;4,84
75;13;2;first;guest;15;15;host;Backhand Unforced Error;false;false;false;07:00:46;2261,22998;8
76;13;2;second;guest;30;15;guest;Forehand Unforced Error;false;false;false;07:01:11;2285,639893;15,24
77;13;2;first;guest;30;30;guest;Backhand Unforced Error;false;false;false;07:01:45;2319,620117;7,94
78;13;2;second;guest;30;40;host;Double Fault;false;false;false;07:02:13;2347,399902;2,07
79;13;2;second;guest;40;40;host;Forehand Unforced Error;false;false;false;07:02:25;2360,199951;15,07
80;13;2;second;guest;AD;40;host;Double Fault;true;false;false;07:02:55;2389,949951;14,74
