Point;Game;Set;Serve State;Match Server;Host Game Score;Guest Game Score;Point Winner;Detail;Break Point;Set Point;Favorited;Start Time;Video Time;Duration
1;1;1;second;guest;0;0;host;Double Fault;false;false;false;06:23:11;5,7;9,77
2;1;1;second;guest;15;0;guest;Service Winner;false;false;false;06:23:38;33,209999;6,97
3;1;1;second;guest;15;15;host;Backhand Unforced Error;false;false;false;06:23:55;49,990002;11,27
4;1;1;second;guest;30;15;host;Forehand Unforced Error;false;false;false;06:24:33;87,300003;10,91
5;1;1;first;guest;40;15;host;Backhand Unforced Error;true;false;false;06:25:06;121,220001;3,5
6;2;1;first;host;0;0;host;Service Winner;false;false;false;06:25:46;161,199997;2,14
7;2;1;second;host;15;0;guest;Forehand Unforced Error;false;false;false;06:26:01;175,410004;19,24
8;2;1;first;host;15;15;host;Backhand Unforced Error;false;false;false;06:26:36;210,360001;5,4
9;2;1;first;host;30;15;host;Forehand Unforced Error;false;false;false;06:27:05;239,339996;16,74
10;2;1;first;host;40;15;host;Forehand Winner;false;false;false;06:27:39;274,25;19,110001
11;3;1;first;guest;0;0;host;Forehand Unforced Error;false;false;false;06:28:40;334,910004;3,9
12;3;1;first;guest;15;0;guest;Forehand Unforced Error;false;false;false;06:28:55;349,980011;8,47
13;3;1;second;guest;15;15;host;Forehand Winner;false;false;false;06:29:29;384,059998;12,34
14;3;1;first;guest;30;15;guest;Forehand Unforced Error;false;false;false;06:30:00;415,209991;14,04
15;3;1;first;guest;30;30;guest;Backhand Unforced Error;false;false;false;06:30:37;451,429993;5,57
16;3;1;first;guest;30;40;host;Backhand Unforced Error;false;false;false;06:31:03;478,100006;9,4
17;3;1;first;guest;40;40;guest;Backhand Winner;false;false;false;06:31:30;504,950012;7,14
18;3;1;first;guest;40;AD;guest;Service Winner;false;false;false;06:31:50;525,26001;2,44
19;4;1;first;host;0;0;guest;Forehand Unforced Error;false;false;false;06:33:02;597,190002;7,04
20;4;1;first;host;0;15;host;Backhand Unforced Error;false;false;false;06:33:26;621,059998;5,67
21;4;1;first;host;15;15;host;Backhand Winner;false;false;false;06:33:44;638,669983;11,31
22;4;1;first;host;30;15;guest;Forehand Unforced Error;false;false;false;06:34:14;668,419983;6,64
23;4;1;first;host;30;30;host;Service Winner;false;false;false;06:34:38;693,030029;1,93
24;4;1;first;host;40;30;guest;Forehand Unforced Error;false;false;false;06:34:53;707,530029;3,67
25;4;1;first;host;40;40;host;Backhand Unforced Error;false;false;false;06:35:16;731,039978;5,54
26;4;1;first;host;AD;40;host;Forehand Unforced Error;false;false;false;06:35:40;755,119995;4,97
27;5;1;second;guest;0;0;host;Forehand Unforced Error;false;false;false;06:36:13;788,140015;20,440001
28;5;1;second;guest;15;0;host;Double Fault;false;false;false;06:36:48;822,780029;7,14
29;5;1;first;guest;30;0;guest;Backhand Unforced Error;false;false;false;06:37:12;847,190002;8,84
30;5;1;second;guest;30;15;host;Forehand Unforced Error;false;false;false;06:37:48;882,97998;17,77
31;5;1;first;guest;40;15;guest;Service Winner;true;false;false;06:38:27;922,190002;2,37
32;5;1;second;guest;40;30;guest;Forehand Unforced Error;true;false;false;06:38:42;937,130005;20,639999
33;5;1;first;guest;40;40;guest;Service Winner;false;false;false;06:39:22;976,650024;2,64
34;5;1;first;guest;40;AD;host;Backhand Unforced Error;false;false;false;06:39:46;1001,159973;10,44
35;5;1;second;guest;40;40;guest;Service Winner;false;false;false;06:40:10;1024,969971;16,709999
36;5;1;first;guest;40;AD;guest;Backhand Unforced Error;false;false;false;06:40:47;1062,079956;6,1
37;6;1;first;host;0;0;host;Ace;false;false;false;06:42:18;1152,790039;0,47
38;6;1;first;host;15;0;guest;Forehand Unforced Error;false;false;false;06:42:29;1164,26001;3,4
39;6;1;second;host;15;15;host;;false;false;false;06:42:48;1182,839966;9,94
40;6;1;first;host;30;15;host;Service Winner;false;false;false;06:43:23;1217,380005;2,8
41;6;1;first;host;40;15;host;Backhand Unforced Error;false;false;false;06:43:42;1236,390015;5,2
42;7;1;first;guest;0;0;guest;Forehand Winner;false;false;false;06:44:08;1262,569946;6,44
43;7;1;first;guest;0;15;guest;Forehand Unforced Error;false;false;false;06:44:27;1282,150024;7,67
44;7;1;second;guest;0;30;host;Forehand Unforced Error;false;false;false;06:44:49;1304,25;24,68
45;7;1;first;guest;15;30;host;Forehand Winner;false;false;false;06:45:37;1352,040039;2,53
46;7;1;first;guest;30;30;guest;Backhand Unforced Error;false;false;false;06:46:05;1379,819946;4,94
47;7;1;first;guest;30;40;guest;Forehand Winner;false;false;false;06:46:20;1394,660034;6,37
48;8;1;first;host;0;0;guest;Forehand Unforced Error;false;false;false;06:47:29;1464,26001;3,34
49;8;1;first;host;0;15;host;Ace;false;false;false;06:47:43;1477,430054;0,63
50;8;1;first;host;15;15;host;Ace;false;false;false;06:48:01;1496;0,7
51;8;1;second;host;30;15;host;Service Winner;false;false;false;06:48:14;1508,339966;8,97
52;8;1;second;host;40;15;host;Backhand Unforced Error;false;false;false;06:48:54;1548,890015;14,07
53;9;1;second;guest;0;0;host;Forehand Unforced Error;false;false;false;06:49:39;1593,680054;11,97
54;9;1;first;guest;15;0;guest;Forehand Unforced Error;false;false;false;06:50:12;1626,959961;7,8
55;9;1;second;guest;15;15;guest;Forehand Unforced Error;false;false;false;06:50:42;1656,5;14,47
56;9;1;first;guest;15;30;host;;false;false;false;06:51:12;1686,75;6,27
57;9;1;second;guest;30;30;host;Double Fault;false;false;false;06:51:34;1708,790039;7,2
58;9;1;second;guest;40;30;host;Double Fault;true;true;false;06:52:01;1736,069946;7,24
59;10;2;first;host;0;0;host;Forehand Winner;false;false;false;06:53:27;1821,51001;6,04
60;10;2;first;host;15;0;host;Forehand Unforced Error;false;false;false;06:53:51;1845,319946;5,2
61;10;2;second;host;30;0;host;Forehand Unforced Error;false;false;false;06:54:10;1865,030029;50,860001
62;10;2;first;host;40;0;host;;false;false;false;06:55:01;1915,880005;14,72
63;11;2;second;guest;0;0;host;Backhand Unforced Error;false;false;false;06:55:37;1951,829956;14,17
64;11;2;first;guest;15;0;guest;Backhand Unforced Error;false;false;false;06:56:09;1984,01001;5,5
65;11;2;first;guest;15;15;host;;false;false;false;06:56:24;1999,280029;6,87
