Game;Set;Server;Host Set Score;Guest Set Score;Game Winner;Start Time;Video Time;Duration
1;1;host;0;0;host;06:19:47;-0,11;183,649994
2;1;guest;1;0;host;06:22:51;183,539993;181,179993
3;1;host;2;0;guest;06:25:52;364,720001;145,960007
4;1;guest;2;1;host;06:28:18;510,679993;223,5
5;1;host;3;1;host;06:32:01;734,179993;158,970001
6;1;guest;4;1;guest;06:34:40;893,150024;166,740005
7;1;host;4;2;host;06:37:27;1059,880005;146,600006
8;1;guest;5;2;host;06:39:54;1206,47998;195,649994
9;2;host;0;0;host;06:43:09;1402,130005;258,109985
10;2;guest;1;0;host;06:47:27;1660,23999;334,209991
11;2;host;2;0;host;06:53:02;1994,449951;301,089996
12;2;guest;3;0;host;06:58:03;2295,540039;192,279999
13;2;host;4;0;draw;07:01:15;2487,820068;
