Player;Shot;Type;Stroke;Spin;Speed (KM/H);Point;Game;Set;Bounce Depth;Bounce Zone;Bounce Side;Bounce (x);Bounce (y);Hit Depth;Hit Zone;Hit Side;Hit (x);Hit (y);Hit (z);Direction;Result;Favorited;Start Time;Video Time
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;138,257874;1;1;1;deep;deuce;near;2,561433;2,030622;deep;deuce;far;-0,416504;23,583591;2,367188;down the T;Out;false;06:20:18;31,280001
Rasmus Kopperud Riis;1;second_serve;Serve;Flat;123,412094;1;1;1;short;deuce;near;2,51593;8,801864;deep;deuce;far;-0,345703;23,302341;2,476562;out wide;In;false;06:20:24;37,02
Rikard Rykkvin;2;second_return;Forehand;Topspin;58,872223;1;1;1;short;deuce;near;3,246094;11,554688;deep;deuce;near;3,947266;-0,120655;0,892578;cross court;Net;false;06:20:25;38,279999
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;116,728455;2;1;1;deep;ad;near;-2,096829;3,137603;deep;ad;far;0,641113;23,489841;2,566406;down the T;Out;false;06:20:43;55,860001
Rasmus Kopperud Riis;1;second_serve;Serve;Flat;90,110405;2;1;1;short;ad;near;-2,451549;6,658672;deep;ad;far;0,728516;23,896091;2,525391;out wide;In;false;06:20:49;61,630001
Rikard Rykkvin;2;second_return;Forehand;Flat;85,694443;2;1;1;short;ad;far;3,555287;18,287191;out;ad;near;-2,097656;-2,026905;1,021484;inside out;In;false;06:20:50;62,830002
Rasmus Kopperud Riis;3;serve_plus_one;Backhand;Slice;47,294071;2;1;1;short;deuce;near;3,488147;8,021184;out;ad_alley;far;4,371094;25,630466;0,84668;down the line;In;false;06:20:52;64,43
Rikard Rykkvin;4;return_plus_one;Forehand;Flat;46,30183;2;1;1;short;deuce;near;2,603516;11,789062;deep;deuce;near;2,433594;3,797314;0,932617;cross court;Net;false;06:20:54;66,800003
Rasmus Kopperud Riis;1;first_serve;Serve;Flat;145,972763;3;1;1;deep;deuce_out;near;6,198359;3,354894;deep;deuce;far;-0,346436;22,521091;2,322266;out wide;Out;false;06:21:17;89,540001
Rasmus Kopperud Riis;1;second_serve;Serve;Flat;142,576965;3;1;1;short;deuce;near;0,966403;8,421095;deep;deuce;far;-0,223755;22,802341;2,34375;down the T;In;false;06:21:23;96,110001
