Set;Host Score;Guest Score;Host Tiebreak Score;Guest Tiebreak Score;Set Winner;Super Tiebreak;Start Time;Video Time;Duration
1;6;1;0;0;host;false;07:17:43;187,479996;2116,469971
2;3;1;0;0;draw;false;07:53:00;2303,949951;
