Point;Game;Set;Serve State;Match Server;Host Game Score;Guest Game Score;Point Winner;Detail;Break Point;Set Point;Favorited;Start Time;Video Time;Duration
1;1;1;first;guest;0;0;host;Forehand Winner;false;false;false;07:17:43;187,479996;8,67
2;1;1;first;guest;15;0;host;;false;false;false;07:18:07;211,660004;6,47
3;1;1;first;guest;30;0;guest;Forehand Unforced Error;false;false;false;07:18:30;234,169998;4,5
4;1;1;second;guest;30;15;host;Double Fault;false;false;false;07:18:52;256,23999;11,34
5;1;1;second;guest;40;15;guest;Forehand Unforced Error;true;false;false;07:19:23;287,220001;29,85
6;1;1;first;guest;40;30;guest;Forehand Unforced Error;true;false;false;07:20:18;341,950012;5,67
7;1;1;second;guest;40;40;host;Backhand Unforced Error;false;false;false;07:21:16;399,799988;20,440001
8;1;1;first;guest;AD;40;guest;Service Winner;true;false;false;07:21:55;439,149994;2,83
9;1;1;first;guest;40;40;guest;Ace;false;false;false;07:22:18;461,899994;0,77
10;1;1;first;guest;40;AD;host;Forehand Unforced Error;false;false;false;07:22:36;480,170013;14,81
11;1;1;second;guest;40;40;host;Forehand Unforced Error;false;false;false;07:23:14;518,590027;20,610001
12;1;1;second;guest;AD;40;host;Double Fault;true;false;false;07:23:54;558,200012;12,11
13;2;1;first;host;0;0;host;Forehand Unforced Error;false;false;false;07:24:36;600,390015;8,04
14;2;1;second;host;15;0;host;Service Winner;false;false;false;07:24:57;620,900024;14,04
15;2;1;second;host;30;0;guest;Double Fault;false;false;false;07:25:24;648,23999;11,81
16;2;1;second;host;30;15;host;Backhand Unforced Error;false;false;false;07:25:56;680,119995;29,65
17;2;1;second;host;40;15;guest;Double Fault;false;false;false;07:26:53;737,25;10,54
18;2;1;first;host;40;30;host;Forehand Unforced Error;false;false;false;07:27:19;763,429993;5,27
19;3;1;first;guest;0;0;guest;Forehand Unforced Error;false;false;false;07:28:16;820,719971;5,94
20;3;1;first;guest;0;15;guest;Backhand Winner;false;false;false;07:28:40;844,690002;9,54
21;3;1;first;guest;0;30;host;Forehand Unforced Error;false;false;false;07:29:05;869,140015;13,71
22;3;1;second;guest;15;30;host;Backhand Unforced Error;false;false;false;07:29:41;904,919983;11,77
23;3;1;first;guest;30;30;host;Forehand Winner;false;false;false;07:30:11;934,830017;6
24;3;1;second;guest;40;30;guest;Forehand Winner;true;false;false;07:30:41;965,640015;14,84
25;3;1;first;guest;40;40;guest;Service Winner;false;false;false;07:31:20;1003,859985;2,94
26;3;1;first;guest;40;AD;guest;;false;false;false;07:31:37;1021,369995;2,5
27;4;1;first;host;0;0;host;Forehand Unforced Error;false;false;false;07:32:18;1062,25;8,97
28;4;1;first;host;15;0;host;Backhand Unforced Error;false;false;false;07:32:45;1089;8,04
29;4;1;first;host;30;0;host;Backhand Unforced Error;false;false;false;07:33:08;1112,069946;6,07
30;4;1;first;host;40;0;host;Backhand Unforced Error;false;false;false;07:33:30;1134,579956;3,67
31;5;1;second;guest;0;0;host;Forehand Unforced Error;false;false;false;07:33:55;1159,329956;20,440001
32;5;1;first;guest;15;0;host;Forehand Winner;false;false;false;07:34:40;1203,75;18,040001
33;5;1;second;guest;30;0;host;Forehand Winner;false;false;false;07:36:39;1323,300049;15,14
34;5;1;first;guest;40;0;guest;Forehand Unforced Error;true;false;false;07:37:21;1365,709961;5,34
35;5;1;first;guest;40;15;guest;Service Winner;true;false;false;07:37:36;1380,689941;1,87
36;5;1;second;guest;40;30;host;Forehand Unforced Error;true;false;false;07:37:56;1400,459961;10,81
37;6;1;second;host;0;0;guest;Backhand Unforced Error;false;false;false;07:38:44;1447,97998;95,940002
38;6;1;first;host;0;15;host;Forehand Unforced Error;false;false;false;07:40:32;1556,300049;7,74
39;6;1;first;host;15;15;host;;false;false;false;07:40:58;1582,209961;2,54
40;6;1;first;host;30;15;guest;Forehand Unforced Error;false;false;false;07:41:11;1595,609985;15,97
41;6;1;first;host;30;30;host;;false;false;false;07:41:52;1635,930054;6,34
42;6;1;second;host;40;30;guest;Double Fault;false;false;false;07:42:20;1663,939941;7,24
43;6;1;first;host;40;40;host;Service Winner;false;false;false;07:42:48;1691,75;2,3
44;6;1;first;host;AD;40;host;Forehand Winner;false;false;false;07:43:10;1714,560059;3,13
45;7;1;second;guest;0;0;host;Forehand Unforced Error;false;false;false;07:44:17;1781,48999;21,440001
46;7;1;first;guest;15;0;guest;;false;false;false;07:45:14;1838,25;9,85
47;7;1;second;guest;15;15;host;Forehand Unforced Error;false;false;false;07:45:37;1860,98999;31,780001
48;7;1;second;guest;30;15;guest;Service Winner;false;false;false;07:46:20;1904,140015;10,74
49;7;1;first;guest;30;30;host;Backhand Unforced Error;false;false;false;07:46:51;1935,459961;7,14
50;7;1;first;guest;40;30;guest;Service Winner;true;true;false;07:47:18;1962,640015;2,63
51;7;1;second;guest;40;40;guest;Forehand Unforced Error;false;false;false;07:47:37;1980,780029;16,34
52;7;1;second;guest;40;AD;host;Double Fault;false;false;false;07:48:17;2021,72998;10,84
53;7;1;second;guest;40;40;host;Double Fault;false;false;false;07:48:55;2058,879883;13,21
54;7;1;first;guest;AD;40;guest;Forehand Unforced Error;true;true;false;07:49:31;2095,72998;9,34
55;7;1;first;guest;40;40;guest;Forehand Unforced Error;false;false;false;07:49:56;2120,370117;1,23
56;7;1;first;guest;40;AD;host;Backhand Unforced Error;false;false;false;07:50:03;2127,070068;11,47
57;7;1;first;guest;40;40;guest;Backhand Unforced Error;false;false;false;07:50:38;2162,590088;9,71
58;7;1;first;guest;40;AD;host;;false;false;false;07:51:01;2185,699951;5,2
59;7;1;first;guest;40;40;host;Forehand Unforced Error;false;false;false;07:51:21;2205,070068;4,04
60;7;1;first;guest;AD;40;guest;Service Winner;true;true;false;07:51:46;2230,719971;2,57
61;7;1;second;guest;40;40;host;Forehand Unforced Error;false;false;false;07:52:16;2260,030029;20,709999
62;7;1;first;guest;AD;40;host;Service Winner;true;true;false;07:52:57;2301,709961;2,24
63;8;2;second;host;0;0;host;Backhand Unforced Error;false;false;false;07:53:10;2314,47998;86,5
64;8;2;first;host;15;0;guest;Forehand Unforced Error;false;false;false;07:54:53;2417,030029;9,07
65;8;2;second;host;15;15;guest;Double Fault;false;false;false;07:55:20;2444,110107;8,6
66;8;2;second;host;15;30;guest;Double Fault;false;false;false;07:55:40;2464,179932;2,53
67;8;2;first;host;15;40;guest;Service Winner;true;false;false;07:56:03;2486,790039;1,83
68;9;2;first;guest;0;0;host;;false;false;false;07:56:33;2517,139893;6,3
69;9;2;second;guest;15;0;guest;Forehand Unforced Error;false;false;false;07:56:49;2533,280029;18,09
70;9;2;second;guest;15;15;guest;Forehand Unforced Error;false;false;false;07:57:27;2571,530029;13,14
71;9;2;second;guest;15;30;host;Forehand Winner;false;false;false;07:57:56;2600,439941;9,94
72;9;2;first;guest;30;30;host;Forehand Unforced Error;false;false;false;07:58:25;2629,649902;10,94
73;9;2;first;guest;40;30;host;Forehand Unforced Error;true;false;false;07:58:49;2652,830078;4,3
74;10;2;first;host;0;0;host;Service Winner;false;false;false;07:59:58;2721,76001;1,77
75;10;2;first;host;15;0;host;Backhand Unforced Error;false;false;false;08:00:10;2734,399902;6,34
76;10;2;first;host;30;0;host;Service Winner;false;false;false;08:00:35;2759,310059;2,23
77;10;2;first;host;40;0;host;Service Winner;false;false;false;08:00:51;2775,449951;10,51
78;11;2;first;guest;0;0;host;Forehand Unforced Error;false;false;false;08:01:17;2801,159912;4
79;11;2;second;guest;15;0;host;Backhand Unforced Error;false;false;false;08:01:30;2814,22998;18,780001
80;11;2;second;guest;30;0;guest;Backhand Unforced Error;false;false;false;08:02:15;2859,25;12,24
81;11;2;first;guest;30;15;guest;Forehand Unforced Error;false;false;false;08:02:44;2887,830078;4,87
82;11;2;second;guest;30;30;host;Double Fault;false;false;false;08:03:07;2911,469971;13,74
83;11;2;second;guest;40;30;host;Double Fault;true;false;false;08:03:41;2945,52002;7,5
